"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","Update course","LMS","Thu Nov 20 00:03:19 UTC 2025","passed","Thu Nov 20 00:03:19 UTC 2025","Update entity","Courses","",""
"","15","Get exercises","LMS","Thu Nov 20 00:03:22 UTC 2025","passed","Thu Nov 20 00:03:22 UTC 2025","Get entities","Exercises","",""
"","15","Create file with empty filename","LMS","Thu Nov 20 00:03:25 UTC 2025","passed","Thu Nov 20 00:03:25 UTC 2025","Validate entity","Files","",""
"","11","Create user with incorrect email","LMS","Thu Nov 20 00:03:32 UTC 2025","passed","Thu Nov 20 00:03:32 UTC 2025","Validate entity","Users","",""
"","17","Delete file","LMS","Thu Nov 20 00:03:24 UTC 2025","passed","Thu Nov 20 00:03:24 UTC 2025","Delete entity","Files","",""
"","11","Get file with correct file id","LMS","Thu Nov 20 00:03:24 UTC 2025","passed","Thu Nov 20 00:03:24 UTC 2025","Get entity","Files","",""
"","19","Update user","LMS","Thu Nov 20 00:03:29 UTC 2025","passed","Thu Nov 20 00:03:29 UTC 2025","Update entity","Users","",""
"","283","Create user","LMS","Thu Nov 20 00:03:27 UTC 2025","passed","Thu Nov 20 00:03:27 UTC 2025","Create entity","Users","",""
"","17","Delete exercise","LMS","Thu Nov 20 00:03:22 UTC 2025","passed","Thu Nov 20 00:03:22 UTC 2025","Delete entity","Exercises","",""
"","282","Login with correct email and password","LMS","Thu Nov 20 00:03:16 UTC 2025","passed","Thu Nov 20 00:03:16 UTC 2025","Login","Authentication","",""
"","15","Update user","LMS","Thu Nov 20 00:03:32 UTC 2025","passed","Thu Nov 20 00:03:32 UTC 2025","Update entity","Users","",""
"","23","Get user","LMS","Thu Nov 20 00:03:28 UTC 2025","passed","Thu Nov 20 00:03:28 UTC 2025","Get entity","Users","",""
"","14","Get exercise","LMS","Thu Nov 20 00:03:20 UTC 2025","passed","Thu Nov 20 00:03:20 UTC 2025","Get entity","Exercises","",""
"","22","Create file with empty directory","LMS","Thu Nov 20 00:03:26 UTC 2025","passed","Thu Nov 20 00:03:26 UTC 2025","Validate entity","Files","",""
"","8","Login with incorrect email","LMS","Thu Nov 20 00:03:16 UTC 2025","passed","Thu Nov 20 00:03:16 UTC 2025","Validate entity","Authentication","",""
"","11","Create user with empty first name","LMS","Thu Nov 20 00:03:32 UTC 2025","passed","Thu Nov 20 00:03:32 UTC 2025","Validate entity","Users","",""
"","12","Get user me","LMS","Thu Nov 20 00:03:28 UTC 2025","passed","Thu Nov 20 00:03:28 UTC 2025","Get entity","Users","",""
"","283","Create user","LMS","Thu Nov 20 00:03:27 UTC 2025","passed","Thu Nov 20 00:03:27 UTC 2025","Create entity","Users","",""
"","276","Login with incorrect password","LMS","Thu Nov 20 00:03:17 UTC 2025","passed","Thu Nov 20 00:03:17 UTC 2025","Validate entity","Authentication","",""
"","21","Create exercise","LMS","Thu Nov 20 00:03:20 UTC 2025","passed","Thu Nov 20 00:03:20 UTC 2025","Create entity","Exercises","",""
"","29","Create course","LMS","Thu Nov 20 00:03:18 UTC 2025","passed","Thu Nov 20 00:03:18 UTC 2025","Create entity","Courses","",""
"","14","Get file with incorrect file id","LMS","Thu Nov 20 00:03:26 UTC 2025","passed","Thu Nov 20 00:03:26 UTC 2025","Validate entity","Files","",""
"","16","Update user","LMS","Thu Nov 20 00:03:31 UTC 2025","passed","Thu Nov 20 00:03:31 UTC 2025","Update entity","Users","",""
"","284","Create user","LMS","Thu Nov 20 00:03:26 UTC 2025","passed","Thu Nov 20 00:03:26 UTC 2025","Create entity","Users","",""
"","16","Update user","LMS","Thu Nov 20 00:03:30 UTC 2025","passed","Thu Nov 20 00:03:30 UTC 2025","Update entity","Users","",""
"","21","Create file","LMS","Thu Nov 20 00:03:23 UTC 2025","passed","Thu Nov 20 00:03:23 UTC 2025","Create entity","Files","",""
"","15","Delete user","LMS","Thu Nov 20 00:03:32 UTC 2025","passed","Thu Nov 20 00:03:32 UTC 2025","Delete entity","Users","",""
"","17","Update exercise","LMS","Thu Nov 20 00:03:21 UTC 2025","passed","Thu Nov 20 00:03:21 UTC 2025","Update entity","Exercises","",""
"","24","Get courses","LMS","Thu Nov 20 00:03:18 UTC 2025","passed","Thu Nov 20 00:03:18 UTC 2025","Get entities","Courses","",""
"","15","Update user","LMS","Thu Nov 20 00:03:30 UTC 2025","passed","Thu Nov 20 00:03:30 UTC 2025","Update entity","Users","",""
