"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get file with incorrect file id","LMS","Thu Nov 27 13:06:38 UTC 2025","passed","Thu Nov 27 13:06:38 UTC 2025","Validate entity","Files","",""
"","281","Login with correct email and password","LMS","Thu Nov 27 13:06:28 UTC 2025","passed","Thu Nov 27 13:06:28 UTC 2025","Login","Authentication","",""
"","12","Get user me","LMS","Thu Nov 27 13:06:40 UTC 2025","passed","Thu Nov 27 13:06:40 UTC 2025","Get entity","Users","",""
"","16","Delete file","LMS","Thu Nov 27 13:06:36 UTC 2025","passed","Thu Nov 27 13:06:36 UTC 2025","Delete entity","Files","",""
"","17","Update exercise","LMS","Thu Nov 27 13:06:33 UTC 2025","passed","Thu Nov 27 13:06:33 UTC 2025","Update entity","Exercises","",""
"","13","Get exercise","LMS","Thu Nov 27 13:06:32 UTC 2025","passed","Thu Nov 27 13:06:32 UTC 2025","Get entity","Exercises","",""
"","10","Create user with incorrect email","LMS","Thu Nov 27 13:06:44 UTC 2025","passed","Thu Nov 27 13:06:44 UTC 2025","Validate entity","Users","",""
"","14","Get exercises","LMS","Thu Nov 27 13:06:34 UTC 2025","passed","Thu Nov 27 13:06:34 UTC 2025","Get entities","Exercises","",""
"","15","Update user","LMS","Thu Nov 27 13:06:42 UTC 2025","passed","Thu Nov 27 13:06:42 UTC 2025","Update entity","Users","",""
"","11","Get file with correct file id","LMS","Thu Nov 27 13:06:36 UTC 2025","passed","Thu Nov 27 13:06:36 UTC 2025","Get entity","Files","",""
"","8","Login with incorrect email","LMS","Thu Nov 27 13:06:29 UTC 2025","passed","Thu Nov 27 13:06:29 UTC 2025","Validate entity","Authentication","",""
"","22","Get user","LMS","Thu Nov 27 13:06:40 UTC 2025","passed","Thu Nov 27 13:06:41 UTC 2025","Get entity","Users","",""
"","22","Create file with empty directory","LMS","Thu Nov 27 13:06:38 UTC 2025","passed","Thu Nov 27 13:06:38 UTC 2025","Validate entity","Files","",""
"","283","Create user","LMS","Thu Nov 27 13:06:39 UTC 2025","passed","Thu Nov 27 13:06:39 UTC 2025","Create entity","Users","",""
"","23","Update user","LMS","Thu Nov 27 13:06:43 UTC 2025","passed","Thu Nov 27 13:06:43 UTC 2025","Update entity","Users","",""
"","10","Create user with empty first name","LMS","Thu Nov 27 13:06:44 UTC 2025","passed","Thu Nov 27 13:06:44 UTC 2025","Validate entity","Users","",""
"","28","Update course","LMS","Thu Nov 27 13:06:31 UTC 2025","passed","Thu Nov 27 13:06:31 UTC 2025","Update entity","Courses","",""
"","15","Update user","LMS","Thu Nov 27 13:06:44 UTC 2025","passed","Thu Nov 27 13:06:44 UTC 2025","Update entity","Users","",""
"","23","Get courses","LMS","Thu Nov 27 13:06:30 UTC 2025","passed","Thu Nov 27 13:06:30 UTC 2025","Get entities","Courses","",""
"","19","Update user","LMS","Thu Nov 27 13:06:41 UTC 2025","passed","Thu Nov 27 13:06:41 UTC 2025","Update entity","Users","",""
"","18","Create exercise","LMS","Thu Nov 27 13:06:32 UTC 2025","passed","Thu Nov 27 13:06:32 UTC 2025","Create entity","Exercises","",""
"","16","Delete user","LMS","Thu Nov 27 13:06:44 UTC 2025","passed","Thu Nov 27 13:06:44 UTC 2025","Delete entity","Users","",""
"","15","Update user","LMS","Thu Nov 27 13:06:42 UTC 2025","passed","Thu Nov 27 13:06:42 UTC 2025","Update entity","Users","",""
"","15","Create file with empty filename","LMS","Thu Nov 27 13:06:37 UTC 2025","passed","Thu Nov 27 13:06:37 UTC 2025","Validate entity","Files","",""
"","275","Login with incorrect password","LMS","Thu Nov 27 13:06:29 UTC 2025","passed","Thu Nov 27 13:06:29 UTC 2025","Validate entity","Authentication","",""
"","15","Delete exercise","LMS","Thu Nov 27 13:06:34 UTC 2025","passed","Thu Nov 27 13:06:34 UTC 2025","Delete entity","Exercises","",""
"","21","Create file","LMS","Thu Nov 27 13:06:35 UTC 2025","passed","Thu Nov 27 13:06:35 UTC 2025","Create entity","Files","",""
"","282","Create user","LMS","Thu Nov 27 13:06:38 UTC 2025","passed","Thu Nov 27 13:06:39 UTC 2025","Create entity","Users","",""
"","29","Create course","LMS","Thu Nov 27 13:06:30 UTC 2025","passed","Thu Nov 27 13:06:30 UTC 2025","Create entity","Courses","",""
"","283","Create user","LMS","Thu Nov 27 13:06:39 UTC 2025","passed","Thu Nov 27 13:06:39 UTC 2025","Create entity","Users","",""
