"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Create user","LMS","Thu Nov 20 00:19:59 UTC 2025","passed","Thu Nov 20 00:19:59 UTC 2025","Create entity","Users","",""
"","20","Update user","LMS","Thu Nov 20 00:20:01 UTC 2025","passed","Thu Nov 20 00:20:01 UTC 2025","Update entity","Users","",""
"","284","Create user","LMS","Thu Nov 20 00:19:58 UTC 2025","passed","Thu Nov 20 00:19:59 UTC 2025","Create entity","Users","",""
"","294","Login with incorrect password","LMS","Thu Nov 20 00:19:49 UTC 2025","passed","Thu Nov 20 00:19:49 UTC 2025","Validate entity","Authentication","",""
"","17","Update user","LMS","Thu Nov 20 00:20:02 UTC 2025","passed","Thu Nov 20 00:20:02 UTC 2025","Update entity","Users","",""
"","26","Get user","LMS","Thu Nov 20 00:20:01 UTC 2025","passed","Thu Nov 20 00:20:01 UTC 2025","Get entity","Users","",""
"","11","Create user with empty first name","LMS","Thu Nov 20 00:20:05 UTC 2025","passed","Thu Nov 20 00:20:05 UTC 2025","Validate entity","Users","",""
"","15","Update user","LMS","Thu Nov 20 00:20:03 UTC 2025","passed","Thu Nov 20 00:20:03 UTC 2025","Update entity","Users","",""
"","11","Create user with incorrect email","LMS","Thu Nov 20 00:20:05 UTC 2025","passed","Thu Nov 20 00:20:05 UTC 2025","Validate entity","Users","",""
"","22","Create file","LMS","Thu Nov 20 00:19:55 UTC 2025","passed","Thu Nov 20 00:19:55 UTC 2025","Create entity","Files","",""
"","283","Login with correct email and password","LMS","Thu Nov 20 00:19:48 UTC 2025","passed","Thu Nov 20 00:19:48 UTC 2025","Login","Authentication","",""
"","24","Create file with empty directory","LMS","Thu Nov 20 00:19:58 UTC 2025","passed","Thu Nov 20 00:19:58 UTC 2025","Validate entity","Files","",""
"","17","Delete user","LMS","Thu Nov 20 00:20:05 UTC 2025","passed","Thu Nov 20 00:20:05 UTC 2025","Delete entity","Users","",""
"","16","Get exercises","LMS","Thu Nov 20 00:19:55 UTC 2025","passed","Thu Nov 20 00:19:55 UTC 2025","Get entities","Exercises","",""
"","9","Login with incorrect email","LMS","Thu Nov 20 00:19:49 UTC 2025","passed","Thu Nov 20 00:19:49 UTC 2025","Validate entity","Authentication","",""
"","15","Update user","LMS","Thu Nov 20 00:20:04 UTC 2025","passed","Thu Nov 20 00:20:04 UTC 2025","Update entity","Users","",""
"","24","Get courses","LMS","Thu Nov 20 00:19:50 UTC 2025","passed","Thu Nov 20 00:19:51 UTC 2025","Get entities","Courses","",""
"","29","Create course","LMS","Thu Nov 20 00:19:50 UTC 2025","passed","Thu Nov 20 00:19:50 UTC 2025","Create entity","Courses","",""
"","15","Create file with empty filename","LMS","Thu Nov 20 00:19:57 UTC 2025","passed","Thu Nov 20 00:19:57 UTC 2025","Validate entity","Files","",""
"","14","Get exercise","LMS","Thu Nov 20 00:19:53 UTC 2025","passed","Thu Nov 20 00:19:53 UTC 2025","Get entity","Exercises","",""
"","39","Update course","LMS","Thu Nov 20 00:19:51 UTC 2025","passed","Thu Nov 20 00:19:51 UTC 2025","Update entity","Courses","",""
"","15","Update user","LMS","Thu Nov 20 00:20:03 UTC 2025","passed","Thu Nov 20 00:20:03 UTC 2025","Update entity","Users","",""
"","18","Delete file","LMS","Thu Nov 20 00:19:57 UTC 2025","passed","Thu Nov 20 00:19:57 UTC 2025","Delete entity","Files","",""
"","284","Create user","LMS","Thu Nov 20 00:19:59 UTC 2025","passed","Thu Nov 20 00:19:59 UTC 2025","Create entity","Users","",""
"","19","Create exercise","LMS","Thu Nov 20 00:19:52 UTC 2025","passed","Thu Nov 20 00:19:52 UTC 2025","Create entity","Exercises","",""
"","17","Update exercise","LMS","Thu Nov 20 00:19:53 UTC 2025","passed","Thu Nov 20 00:19:53 UTC 2025","Update entity","Exercises","",""
"","18","Delete exercise","LMS","Thu Nov 20 00:19:54 UTC 2025","passed","Thu Nov 20 00:19:54 UTC 2025","Delete entity","Exercises","",""
"","13","Get user me","LMS","Thu Nov 20 00:20:00 UTC 2025","passed","Thu Nov 20 00:20:00 UTC 2025","Get entity","Users","",""
"","15","Get file with incorrect file id","LMS","Thu Nov 20 00:19:58 UTC 2025","passed","Thu Nov 20 00:19:58 UTC 2025","Validate entity","Files","",""
"","11","Get file with correct file id","LMS","Thu Nov 20 00:19:56 UTC 2025","passed","Thu Nov 20 00:19:56 UTC 2025","Get entity","Files","",""
