"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Create file with empty directory","LMS","Thu Nov 27 12:39:47 UTC 2025","passed","Thu Nov 27 12:39:47 UTC 2025","Validate entity","Files","",""
"","16","Delete user","LMS","Thu Nov 27 12:39:53 UTC 2025","passed","Thu Nov 27 12:39:53 UTC 2025","Delete entity","Users","",""
"","17","Update exercise","LMS","Thu Nov 27 12:39:42 UTC 2025","passed","Thu Nov 27 12:39:42 UTC 2025","Update entity","Exercises","",""
"","17","Delete file","LMS","Thu Nov 27 12:39:45 UTC 2025","passed","Thu Nov 27 12:39:45 UTC 2025","Delete entity","Files","",""
"","12","Get user me","LMS","Thu Nov 27 12:39:49 UTC 2025","passed","Thu Nov 27 12:39:49 UTC 2025","Get entity","Users","",""
"","29","Update course","LMS","Thu Nov 27 12:39:40 UTC 2025","passed","Thu Nov 27 12:39:40 UTC 2025","Update entity","Courses","",""
"","18","Create exercise","LMS","Thu Nov 27 12:39:41 UTC 2025","passed","Thu Nov 27 12:39:41 UTC 2025","Create entity","Exercises","",""
"","284","Create user","LMS","Thu Nov 27 12:39:48 UTC 2025","passed","Thu Nov 27 12:39:48 UTC 2025","Create entity","Users","",""
"","16","Update user","LMS","Thu Nov 27 12:39:51 UTC 2025","passed","Thu Nov 27 12:39:51 UTC 2025","Update entity","Users","",""
"","17","Delete exercise","LMS","Thu Nov 27 12:39:43 UTC 2025","passed","Thu Nov 27 12:39:43 UTC 2025","Delete entity","Exercises","",""
"","15","Create file with empty filename","LMS","Thu Nov 27 12:39:46 UTC 2025","passed","Thu Nov 27 12:39:46 UTC 2025","Validate entity","Files","",""
"","15","Update user","LMS","Thu Nov 27 12:39:53 UTC 2025","passed","Thu Nov 27 12:39:53 UTC 2025","Update entity","Users","",""
"","28","Create course","LMS","Thu Nov 27 12:39:39 UTC 2025","passed","Thu Nov 27 12:39:39 UTC 2025","Create entity","Courses","",""
"","20","Update user","LMS","Thu Nov 27 12:39:50 UTC 2025","passed","Thu Nov 27 12:39:50 UTC 2025","Update entity","Users","",""
"","10","Create user with empty first name","LMS","Thu Nov 27 12:39:53 UTC 2025","passed","Thu Nov 27 12:39:53 UTC 2025","Validate entity","Users","",""
"","12","Get file with correct file id","LMS","Thu Nov 27 12:39:45 UTC 2025","passed","Thu Nov 27 12:39:45 UTC 2025","Get entity","Files","",""
"","285","Create user","LMS","Thu Nov 27 12:39:48 UTC 2025","passed","Thu Nov 27 12:39:48 UTC 2025","Create entity","Users","",""
"","10","Create user with incorrect email","LMS","Thu Nov 27 12:39:53 UTC 2025","passed","Thu Nov 27 12:39:53 UTC 2025","Validate entity","Users","",""
"","9","Login with incorrect email","LMS","Thu Nov 27 12:39:38 UTC 2025","passed","Thu Nov 27 12:39:38 UTC 2025","Validate entity","Authentication","",""
"","24","Get user","LMS","Thu Nov 27 12:39:50 UTC 2025","passed","Thu Nov 27 12:39:50 UTC 2025","Get entity","Users","",""
"","284","Create user","LMS","Thu Nov 27 12:39:47 UTC 2025","passed","Thu Nov 27 12:39:48 UTC 2025","Create entity","Users","",""
"","15","Get exercises","LMS","Thu Nov 27 12:39:43 UTC 2025","passed","Thu Nov 27 12:39:43 UTC 2025","Get entities","Exercises","",""
"","15","Get exercise","LMS","Thu Nov 27 12:39:41 UTC 2025","passed","Thu Nov 27 12:39:41 UTC 2025","Get entity","Exercises","",""
"","21","Create file","LMS","Thu Nov 27 12:39:44 UTC 2025","passed","Thu Nov 27 12:39:44 UTC 2025","Create entity","Files","",""
"","282","Login with correct email and password","LMS","Thu Nov 27 12:39:37 UTC 2025","passed","Thu Nov 27 12:39:37 UTC 2025","Login","Authentication","",""
"","275","Login with incorrect password","LMS","Thu Nov 27 12:39:38 UTC 2025","passed","Thu Nov 27 12:39:38 UTC 2025","Validate entity","Authentication","",""
"","22","Get courses","LMS","Thu Nov 27 12:39:39 UTC 2025","passed","Thu Nov 27 12:39:39 UTC 2025","Get entities","Courses","",""
"","16","Update user","LMS","Thu Nov 27 12:39:51 UTC 2025","passed","Thu Nov 27 12:39:51 UTC 2025","Update entity","Users","",""
"","14","Get file with incorrect file id","LMS","Thu Nov 27 12:39:47 UTC 2025","passed","Thu Nov 27 12:39:47 UTC 2025","Validate entity","Files","",""
"","24","Update user","LMS","Thu Nov 27 12:39:52 UTC 2025","passed","Thu Nov 27 12:39:52 UTC 2025","Update entity","Users","",""
