"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Create file with empty directory","LMS","Thu Nov 27 10:34:07 UTC 2025","passed","Thu Nov 27 10:34:07 UTC 2025","Validate entity","Files","",""
"","14","Get file with incorrect file id","LMS","Thu Nov 27 10:34:08 UTC 2025","passed","Thu Nov 27 10:34:08 UTC 2025","Validate entity","Files","",""
"","15","Get exercises","LMS","Thu Nov 27 10:34:04 UTC 2025","passed","Thu Nov 27 10:34:04 UTC 2025","Get entities","Exercises","",""
"","22","Create exercise","LMS","Thu Nov 27 10:34:01 UTC 2025","passed","Thu Nov 27 10:34:01 UTC 2025","Create entity","Exercises","",""
"","11","Create user with empty first name","LMS","Thu Nov 27 10:34:14 UTC 2025","passed","Thu Nov 27 10:34:14 UTC 2025","Validate entity","Users","",""
"","18","Delete exercise","LMS","Thu Nov 27 10:34:03 UTC 2025","passed","Thu Nov 27 10:34:03 UTC 2025","Delete entity","Exercises","",""
"","13","Get user me","LMS","Thu Nov 27 10:34:09 UTC 2025","passed","Thu Nov 27 10:34:09 UTC 2025","Get entity","Users","",""
"","16","Update user","LMS","Thu Nov 27 10:34:12 UTC 2025","passed","Thu Nov 27 10:34:12 UTC 2025","Update entity","Users","",""
"","19","Update user","LMS","Thu Nov 27 10:34:11 UTC 2025","passed","Thu Nov 27 10:34:11 UTC 2025","Update entity","Users","",""
"","16","Update user","LMS","Thu Nov 27 10:34:12 UTC 2025","passed","Thu Nov 27 10:34:12 UTC 2025","Update entity","Users","",""
"","24","Get user","LMS","Thu Nov 27 10:34:10 UTC 2025","passed","Thu Nov 27 10:34:10 UTC 2025","Get entity","Users","",""
"","13","Get file with correct file id","LMS","Thu Nov 27 10:34:05 UTC 2025","passed","Thu Nov 27 10:34:05 UTC 2025","Get entity","Files","",""
"","35","Update course","LMS","Thu Nov 27 10:34:00 UTC 2025","passed","Thu Nov 27 10:34:00 UTC 2025","Update entity","Courses","",""
"","11","Create user with incorrect email","LMS","Thu Nov 27 10:34:14 UTC 2025","passed","Thu Nov 27 10:34:14 UTC 2025","Validate entity","Users","",""
"","284","Create user","LMS","Thu Nov 27 10:34:08 UTC 2025","passed","Thu Nov 27 10:34:08 UTC 2025","Create entity","Users","",""
"","23","Get courses","LMS","Thu Nov 27 10:34:00 UTC 2025","passed","Thu Nov 27 10:34:00 UTC 2025","Get entities","Courses","",""
"","276","Login with incorrect password","LMS","Thu Nov 27 10:33:58 UTC 2025","passed","Thu Nov 27 10:33:58 UTC 2025","Validate entity","Authentication","",""
"","9","Login with incorrect email","LMS","Thu Nov 27 10:33:58 UTC 2025","passed","Thu Nov 27 10:33:58 UTC 2025","Validate entity","Authentication","",""
"","29","Create course","LMS","Thu Nov 27 10:33:59 UTC 2025","passed","Thu Nov 27 10:33:59 UTC 2025","Create entity","Courses","",""
"","16","Create file with empty filename","LMS","Thu Nov 27 10:34:06 UTC 2025","passed","Thu Nov 27 10:34:06 UTC 2025","Validate entity","Files","",""
"","16","Update user","LMS","Thu Nov 27 10:34:11 UTC 2025","passed","Thu Nov 27 10:34:11 UTC 2025","Update entity","Users","",""
"","15","Update user","LMS","Thu Nov 27 10:34:13 UTC 2025","passed","Thu Nov 27 10:34:13 UTC 2025","Update entity","Users","",""
"","18","Update exercise","LMS","Thu Nov 27 10:34:02 UTC 2025","passed","Thu Nov 27 10:34:02 UTC 2025","Update entity","Exercises","",""
"","20","Delete file","LMS","Thu Nov 27 10:34:06 UTC 2025","passed","Thu Nov 27 10:34:06 UTC 2025","Delete entity","Files","",""
"","26","Create file","LMS","Thu Nov 27 10:34:04 UTC 2025","passed","Thu Nov 27 10:34:04 UTC 2025","Create entity","Files","",""
"","15","Get exercise","LMS","Thu Nov 27 10:34:02 UTC 2025","passed","Thu Nov 27 10:34:02 UTC 2025","Get entity","Exercises","",""
"","17","Delete user","LMS","Thu Nov 27 10:34:14 UTC 2025","passed","Thu Nov 27 10:34:14 UTC 2025","Delete entity","Users","",""
"","285","Create user","LMS","Thu Nov 27 10:34:08 UTC 2025","passed","Thu Nov 27 10:34:09 UTC 2025","Create entity","Users","",""
"","285","Create user","LMS","Thu Nov 27 10:34:08 UTC 2025","passed","Thu Nov 27 10:34:08 UTC 2025","Create entity","Users","",""
"","282","Login with correct email and password","LMS","Thu Nov 27 10:33:57 UTC 2025","passed","Thu Nov 27 10:33:58 UTC 2025","Login","Authentication","",""
