"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Create file with empty directory","LMS","Thu Nov 20 00:33:23 UTC 2025","passed","Thu Nov 20 00:33:23 UTC 2025","Validate entity","Files","",""
"","10","Create user with incorrect email","LMS","Thu Nov 20 00:33:30 UTC 2025","passed","Thu Nov 20 00:33:30 UTC 2025","Validate entity","Users","",""
"","17","Delete user","LMS","Thu Nov 20 00:33:30 UTC 2025","passed","Thu Nov 20 00:33:30 UTC 2025","Delete entity","Users","",""
"","23","Get courses","LMS","Thu Nov 20 00:33:16 UTC 2025","passed","Thu Nov 20 00:33:16 UTC 2025","Get entities","Courses","",""
"","286","Create user","LMS","Thu Nov 20 00:33:24 UTC 2025","passed","Thu Nov 20 00:33:24 UTC 2025","Create entity","Users","",""
"","276","Login with incorrect password","LMS","Thu Nov 20 00:33:14 UTC 2025","passed","Thu Nov 20 00:33:14 UTC 2025","Validate entity","Authentication","",""
"","282","Login with correct email and password","LMS","Thu Nov 20 00:33:13 UTC 2025","passed","Thu Nov 20 00:33:14 UTC 2025","Login","Authentication","",""
"","15","Get exercises","LMS","Thu Nov 20 00:33:20 UTC 2025","passed","Thu Nov 20 00:33:20 UTC 2025","Get entities","Exercises","",""
"","24","Get user","LMS","Thu Nov 20 00:33:26 UTC 2025","passed","Thu Nov 20 00:33:26 UTC 2025","Get entity","Users","",""
"","15","Update user","LMS","Thu Nov 20 00:33:28 UTC 2025","passed","Thu Nov 20 00:33:29 UTC 2025","Update entity","Users","",""
"","35","Update course","LMS","Thu Nov 20 00:33:16 UTC 2025","passed","Thu Nov 20 00:33:16 UTC 2025","Update entity","Courses","",""
"","12","Get file with correct file id","LMS","Thu Nov 20 00:33:21 UTC 2025","passed","Thu Nov 20 00:33:21 UTC 2025","Get entity","Files","",""
"","19","Create exercise","LMS","Thu Nov 20 00:33:17 UTC 2025","passed","Thu Nov 20 00:33:17 UTC 2025","Create entity","Exercises","",""
"","16","Update user","LMS","Thu Nov 20 00:33:29 UTC 2025","passed","Thu Nov 20 00:33:29 UTC 2025","Update entity","Users","",""
"","21","Create file","LMS","Thu Nov 20 00:33:20 UTC 2025","passed","Thu Nov 20 00:33:20 UTC 2025","Create entity","Files","",""
"","14","Get exercise","LMS","Thu Nov 20 00:33:18 UTC 2025","passed","Thu Nov 20 00:33:18 UTC 2025","Get entity","Exercises","",""
"","19","Delete file","LMS","Thu Nov 20 00:33:22 UTC 2025","passed","Thu Nov 20 00:33:22 UTC 2025","Delete entity","Files","",""
"","17","Delete exercise","LMS","Thu Nov 20 00:33:19 UTC 2025","passed","Thu Nov 20 00:33:19 UTC 2025","Delete entity","Exercises","",""
"","15","Create file with empty filename","LMS","Thu Nov 20 00:33:22 UTC 2025","passed","Thu Nov 20 00:33:22 UTC 2025","Validate entity","Files","",""
"","287","Create user","LMS","Thu Nov 20 00:33:24 UTC 2025","passed","Thu Nov 20 00:33:25 UTC 2025","Create entity","Users","",""
"","17","Update user","LMS","Thu Nov 20 00:33:27 UTC 2025","passed","Thu Nov 20 00:33:27 UTC 2025","Update entity","Users","",""
"","17","Update exercise","LMS","Thu Nov 20 00:33:18 UTC 2025","passed","Thu Nov 20 00:33:18 UTC 2025","Update entity","Exercises","",""
"","8","Login with incorrect email","LMS","Thu Nov 20 00:33:14 UTC 2025","passed","Thu Nov 20 00:33:14 UTC 2025","Validate entity","Authentication","",""
"","22","Update user","LMS","Thu Nov 20 00:33:27 UTC 2025","passed","Thu Nov 20 00:33:27 UTC 2025","Update entity","Users","",""
"","28","Create course","LMS","Thu Nov 20 00:33:15 UTC 2025","passed","Thu Nov 20 00:33:15 UTC 2025","Create entity","Courses","",""
"","12","Create user with empty first name","LMS","Thu Nov 20 00:33:30 UTC 2025","passed","Thu Nov 20 00:33:30 UTC 2025","Validate entity","Users","",""
"","284","Create user","LMS","Thu Nov 20 00:33:24 UTC 2025","passed","Thu Nov 20 00:33:24 UTC 2025","Create entity","Users","",""
"","14","Get file with incorrect file id","LMS","Thu Nov 20 00:33:24 UTC 2025","passed","Thu Nov 20 00:33:24 UTC 2025","Validate entity","Files","",""
"","16","Update user","LMS","Thu Nov 20 00:33:28 UTC 2025","passed","Thu Nov 20 00:33:28 UTC 2025","Update entity","Users","",""
"","12","Get user me","LMS","Thu Nov 20 00:33:25 UTC 2025","passed","Thu Nov 20 00:33:25 UTC 2025","Get entity","Users","",""
