"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS","Thu Nov 27 16:13:25 UTC 2025","passed","Thu Nov 27 16:13:25 UTC 2025","Get entity","Users","",""
"","15","Update user","LMS","Thu Nov 27 16:13:27 UTC 2025","passed","Thu Nov 27 16:13:27 UTC 2025","Update entity","Users","",""
"","14","Get exercise","LMS","Thu Nov 27 16:13:18 UTC 2025","passed","Thu Nov 27 16:13:18 UTC 2025","Get entity","Exercises","",""
"","17","Update user","LMS","Thu Nov 27 16:13:28 UTC 2025","passed","Thu Nov 27 16:13:28 UTC 2025","Update entity","Users","",""
"","283","Create user","LMS","Thu Nov 27 16:13:24 UTC 2025","passed","Thu Nov 27 16:13:24 UTC 2025","Create entity","Users","",""
"","15","Delete exercise","LMS","Thu Nov 27 16:13:19 UTC 2025","passed","Thu Nov 27 16:13:19 UTC 2025","Delete entity","Exercises","",""
"","21","Create file","LMS","Thu Nov 27 16:13:20 UTC 2025","passed","Thu Nov 27 16:13:20 UTC 2025","Create entity","Files","",""
"","17","Delete file","LMS","Thu Nov 27 16:13:22 UTC 2025","passed","Thu Nov 27 16:13:22 UTC 2025","Delete entity","Files","",""
"","8","Login with incorrect email","LMS","Thu Nov 27 16:13:14 UTC 2025","passed","Thu Nov 27 16:13:14 UTC 2025","Validate entity","Authentication","",""
"","28","Create course","LMS","Thu Nov 27 16:13:15 UTC 2025","passed","Thu Nov 27 16:13:15 UTC 2025","Create entity","Courses","",""
"","275","Login with incorrect password","LMS","Thu Nov 27 16:13:14 UTC 2025","passed","Thu Nov 27 16:13:14 UTC 2025","Validate entity","Authentication","",""
"","22","Create file with empty directory","LMS","Thu Nov 27 16:13:23 UTC 2025","passed","Thu Nov 27 16:13:23 UTC 2025","Validate entity","Files","",""
"","281","Login with correct email and password","LMS","Thu Nov 27 16:13:13 UTC 2025","passed","Thu Nov 27 16:13:14 UTC 2025","Login","Authentication","",""
"","19","Update user","LMS","Thu Nov 27 16:13:26 UTC 2025","passed","Thu Nov 27 16:13:26 UTC 2025","Update entity","Users","",""
"","10","Create user with empty first name","LMS","Thu Nov 27 16:13:30 UTC 2025","passed","Thu Nov 27 16:13:30 UTC 2025","Validate entity","Users","",""
"","13","Get file with incorrect file id","LMS","Thu Nov 27 16:13:23 UTC 2025","passed","Thu Nov 27 16:13:23 UTC 2025","Validate entity","Files","",""
"","284","Create user","LMS","Thu Nov 27 16:13:24 UTC 2025","passed","Thu Nov 27 16:13:24 UTC 2025","Create entity","Users","",""
"","14","Get exercises","LMS","Thu Nov 27 16:13:20 UTC 2025","passed","Thu Nov 27 16:13:20 UTC 2025","Get entities","Exercises","",""
"","17","Update exercise","LMS","Thu Nov 27 16:13:18 UTC 2025","passed","Thu Nov 27 16:13:18 UTC 2025","Update entity","Exercises","",""
"","23","Get user","LMS","Thu Nov 27 16:13:26 UTC 2025","passed","Thu Nov 27 16:13:26 UTC 2025","Get entity","Users","",""
"","15","Delete user","LMS","Thu Nov 27 16:13:30 UTC 2025","passed","Thu Nov 27 16:13:30 UTC 2025","Delete entity","Users","",""
"","16","Update user","LMS","Thu Nov 27 16:13:29 UTC 2025","passed","Thu Nov 27 16:13:29 UTC 2025","Update entity","Users","",""
"","29","Update course","LMS","Thu Nov 27 16:13:16 UTC 2025","passed","Thu Nov 27 16:13:16 UTC 2025","Update entity","Courses","",""
"","17","Create exercise","LMS","Thu Nov 27 16:13:17 UTC 2025","passed","Thu Nov 27 16:13:17 UTC 2025","Create entity","Exercises","",""
"","15","Create file with empty filename","LMS","Thu Nov 27 16:13:22 UTC 2025","passed","Thu Nov 27 16:13:22 UTC 2025","Validate entity","Files","",""
"","283","Create user","LMS","Thu Nov 27 16:13:24 UTC 2025","passed","Thu Nov 27 16:13:24 UTC 2025","Create entity","Users","",""
"","24","Update user","LMS","Thu Nov 27 16:13:28 UTC 2025","passed","Thu Nov 27 16:13:28 UTC 2025","Update entity","Users","",""
"","12","Get file with correct file id","LMS","Thu Nov 27 16:13:21 UTC 2025","passed","Thu Nov 27 16:13:21 UTC 2025","Get entity","Files","",""
"","23","Get courses","LMS","Thu Nov 27 16:13:16 UTC 2025","passed","Thu Nov 27 16:13:16 UTC 2025","Get entities","Courses","",""
"","10","Create user with incorrect email","LMS","Thu Nov 27 16:13:30 UTC 2025","passed","Thu Nov 27 16:13:30 UTC 2025","Validate entity","Users","",""
