"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","281","Login with correct email and password","LMS","Wed Nov 19 23:59:12 UTC 2025","passed","Wed Nov 19 23:59:13 UTC 2025","Login","Authentication","",""
"","15","Update user","LMS","Wed Nov 19 23:59:27 UTC 2025","passed","Wed Nov 19 23:59:27 UTC 2025","Update entity","Users","",""
"","11","Create user with incorrect email","LMS","Wed Nov 19 23:59:29 UTC 2025","passed","Wed Nov 19 23:59:29 UTC 2025","Validate entity","Users","",""
"","28","Create course","LMS","Wed Nov 19 23:59:14 UTC 2025","passed","Wed Nov 19 23:59:14 UTC 2025","Create entity","Courses","",""
"","19","Update user","LMS","Wed Nov 19 23:59:25 UTC 2025","passed","Wed Nov 19 23:59:25 UTC 2025","Update entity","Users","",""
"","284","Create user","LMS","Wed Nov 19 23:59:23 UTC 2025","passed","Wed Nov 19 23:59:24 UTC 2025","Create entity","Users","",""
"","17","Delete exercise","LMS","Wed Nov 19 23:59:18 UTC 2025","passed","Wed Nov 19 23:59:18 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS","Wed Nov 19 23:59:24 UTC 2025","passed","Wed Nov 19 23:59:24 UTC 2025","Get entity","Users","",""
"","15","Update user","LMS","Wed Nov 19 23:59:26 UTC 2025","passed","Wed Nov 19 23:59:26 UTC 2025","Update entity","Users","",""
"","19","Update exercise","LMS","Wed Nov 19 23:59:17 UTC 2025","passed","Wed Nov 19 23:59:17 UTC 2025","Update entity","Exercises","",""
"","39","Update course","LMS","Wed Nov 19 23:59:15 UTC 2025","passed","Wed Nov 19 23:59:15 UTC 2025","Update entity","Courses","",""
"","15","Update user","LMS","Wed Nov 19 23:59:27 UTC 2025","passed","Wed Nov 19 23:59:27 UTC 2025","Update entity","Users","",""
"","13","Get file with incorrect file id","LMS","Wed Nov 19 23:59:23 UTC 2025","passed","Wed Nov 19 23:59:23 UTC 2025","Validate entity","Files","",""
"","14","Get exercise","LMS","Wed Nov 19 23:59:17 UTC 2025","passed","Wed Nov 19 23:59:17 UTC 2025","Get entity","Exercises","",""
"","21","Create file","LMS","Wed Nov 19 23:59:19 UTC 2025","passed","Wed Nov 19 23:59:19 UTC 2025","Create entity","Files","",""
"","15","Update user","LMS","Wed Nov 19 23:59:28 UTC 2025","passed","Wed Nov 19 23:59:28 UTC 2025","Update entity","Users","",""
"","18","Create exercise","LMS","Wed Nov 19 23:59:16 UTC 2025","passed","Wed Nov 19 23:59:16 UTC 2025","Create entity","Exercises","",""
"","17","Delete file","LMS","Wed Nov 19 23:59:21 UTC 2025","passed","Wed Nov 19 23:59:21 UTC 2025","Delete entity","Files","",""
"","10","Create user with empty first name","LMS","Wed Nov 19 23:59:29 UTC 2025","passed","Wed Nov 19 23:59:29 UTC 2025","Validate entity","Users","",""
"","14","Create file with empty filename","LMS","Wed Nov 19 23:59:21 UTC 2025","passed","Wed Nov 19 23:59:21 UTC 2025","Validate entity","Files","",""
"","11","Get file with correct file id","LMS","Wed Nov 19 23:59:20 UTC 2025","passed","Wed Nov 19 23:59:20 UTC 2025","Get entity","Files","",""
"","282","Create user","LMS","Wed Nov 19 23:59:23 UTC 2025","passed","Wed Nov 19 23:59:23 UTC 2025","Create entity","Users","",""
"","283","Create user","LMS","Wed Nov 19 23:59:23 UTC 2025","passed","Wed Nov 19 23:59:23 UTC 2025","Create entity","Users","",""
"","22","Create file with empty directory","LMS","Wed Nov 19 23:59:22 UTC 2025","passed","Wed Nov 19 23:59:22 UTC 2025","Validate entity","Files","",""
"","15","Get exercises","LMS","Wed Nov 19 23:59:19 UTC 2025","passed","Wed Nov 19 23:59:19 UTC 2025","Get entities","Exercises","",""
"","16","Delete user","LMS","Wed Nov 19 23:59:29 UTC 2025","passed","Wed Nov 19 23:59:29 UTC 2025","Delete entity","Users","",""
"","23","Get user","LMS","Wed Nov 19 23:59:25 UTC 2025","passed","Wed Nov 19 23:59:25 UTC 2025","Get entity","Users","",""
"","8","Login with incorrect email","LMS","Wed Nov 19 23:59:13 UTC 2025","passed","Wed Nov 19 23:59:13 UTC 2025","Validate entity","Authentication","",""
"","23","Get courses","LMS","Wed Nov 19 23:59:15 UTC 2025","passed","Wed Nov 19 23:59:15 UTC 2025","Get entities","Courses","",""
"","275","Login with incorrect password","LMS","Wed Nov 19 23:59:13 UTC 2025","passed","Wed Nov 19 23:59:13 UTC 2025","Validate entity","Authentication","",""
