"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Get user","LMS","Thu Nov 20 00:31:29 UTC 2025","passed","Thu Nov 20 00:31:29 UTC 2025","Get entity","Users","",""
"","282","Create user","LMS","Thu Nov 20 00:31:27 UTC 2025","passed","Thu Nov 20 00:31:28 UTC 2025","Create entity","Users","",""
"","16","Update exercise","LMS","Thu Nov 20 00:31:22 UTC 2025","passed","Thu Nov 20 00:31:22 UTC 2025","Update entity","Exercises","",""
"","17","Delete exercise","LMS","Thu Nov 20 00:31:23 UTC 2025","passed","Thu Nov 20 00:31:23 UTC 2025","Delete entity","Exercises","",""
"","274","Login with incorrect password","LMS","Thu Nov 20 00:31:18 UTC 2025","passed","Thu Nov 20 00:31:18 UTC 2025","Validate entity","Authentication","",""
"","11","Get file with correct file id","LMS","Thu Nov 20 00:31:25 UTC 2025","passed","Thu Nov 20 00:31:25 UTC 2025","Get entity","Files","",""
"","280","Login with correct email and password","LMS","Thu Nov 20 00:31:17 UTC 2025","passed","Thu Nov 20 00:31:17 UTC 2025","Login","Authentication","",""
"","282","Create user","LMS","Thu Nov 20 00:31:28 UTC 2025","passed","Thu Nov 20 00:31:28 UTC 2025","Create entity","Users","",""
"","7","Login with incorrect email","LMS","Thu Nov 20 00:31:17 UTC 2025","passed","Thu Nov 20 00:31:17 UTC 2025","Validate entity","Authentication","",""
"","17","Delete file","LMS","Thu Nov 20 00:31:25 UTC 2025","passed","Thu Nov 20 00:31:25 UTC 2025","Delete entity","Files","",""
"","28","Create course","LMS","Thu Nov 20 00:31:19 UTC 2025","passed","Thu Nov 20 00:31:19 UTC 2025","Create entity","Courses","",""
"","10","Create user with empty first name","LMS","Thu Nov 20 00:31:33 UTC 2025","passed","Thu Nov 20 00:31:33 UTC 2025","Validate entity","Users","",""
"","14","Update user","LMS","Thu Nov 20 00:31:31 UTC 2025","passed","Thu Nov 20 00:31:31 UTC 2025","Update entity","Users","",""
"","19","Update user","LMS","Thu Nov 20 00:31:30 UTC 2025","passed","Thu Nov 20 00:31:30 UTC 2025","Update entity","Users","",""
"","10","Create user with incorrect email","LMS","Thu Nov 20 00:31:33 UTC 2025","passed","Thu Nov 20 00:31:33 UTC 2025","Validate entity","Users","",""
"","14","Get exercise","LMS","Thu Nov 20 00:31:21 UTC 2025","passed","Thu Nov 20 00:31:21 UTC 2025","Get entity","Exercises","",""
"","14","Get exercises","LMS","Thu Nov 20 00:31:23 UTC 2025","passed","Thu Nov 20 00:31:23 UTC 2025","Get entities","Exercises","",""
"","12","Get file with incorrect file id","LMS","Thu Nov 20 00:31:27 UTC 2025","passed","Thu Nov 20 00:31:27 UTC 2025","Validate entity","Files","",""
"","14","Update user","LMS","Thu Nov 20 00:31:32 UTC 2025","passed","Thu Nov 20 00:31:32 UTC 2025","Update entity","Users","",""
"","14","Update user","LMS","Thu Nov 20 00:31:31 UTC 2025","passed","Thu Nov 20 00:31:31 UTC 2025","Update entity","Users","",""
"","281","Create user","LMS","Thu Nov 20 00:31:27 UTC 2025","passed","Thu Nov 20 00:31:27 UTC 2025","Create entity","Users","",""
"","15","Delete user","LMS","Thu Nov 20 00:31:33 UTC 2025","passed","Thu Nov 20 00:31:33 UTC 2025","Delete entity","Users","",""
"","11","Get user me","LMS","Thu Nov 20 00:31:29 UTC 2025","passed","Thu Nov 20 00:31:29 UTC 2025","Get entity","Users","",""
"","23","Get courses","LMS","Thu Nov 20 00:31:19 UTC 2025","passed","Thu Nov 20 00:31:19 UTC 2025","Get entities","Courses","",""
"","14","Create file with empty filename","LMS","Thu Nov 20 00:31:26 UTC 2025","passed","Thu Nov 20 00:31:26 UTC 2025","Validate entity","Files","",""
"","14","Update user","LMS","Thu Nov 20 00:31:33 UTC 2025","passed","Thu Nov 20 00:31:33 UTC 2025","Update entity","Users","",""
"","17","Create exercise","LMS","Thu Nov 20 00:31:21 UTC 2025","passed","Thu Nov 20 00:31:21 UTC 2025","Create entity","Exercises","",""
"","31","Update course","LMS","Thu Nov 20 00:31:20 UTC 2025","passed","Thu Nov 20 00:31:20 UTC 2025","Update entity","Courses","",""
"","19","Create file","LMS","Thu Nov 20 00:31:24 UTC 2025","passed","Thu Nov 20 00:31:24 UTC 2025","Create entity","Files","",""
"","20","Create file with empty directory","LMS","Thu Nov 20 00:31:27 UTC 2025","passed","Thu Nov 20 00:31:27 UTC 2025","Validate entity","Files","",""
