"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Update course","LMS","Wed Nov 26 02:35:41 UTC 2025","passed","Wed Nov 26 02:35:41 UTC 2025","Update entity","Courses","",""
"","15","Delete user","LMS","Wed Nov 26 02:35:54 UTC 2025","passed","Wed Nov 26 02:35:54 UTC 2025","Delete entity","Users","",""
"","9","Create user with incorrect email","LMS","Wed Nov 26 02:35:54 UTC 2025","passed","Wed Nov 26 02:35:54 UTC 2025","Validate entity","Users","",""
"","275","Login with incorrect password","LMS","Wed Nov 26 02:35:38 UTC 2025","passed","Wed Nov 26 02:35:39 UTC 2025","Validate entity","Authentication","",""
"","23","Get courses","LMS","Wed Nov 26 02:35:40 UTC 2025","passed","Wed Nov 26 02:35:40 UTC 2025","Get entities","Courses","",""
"","14","Update user","LMS","Wed Nov 26 02:35:51 UTC 2025","passed","Wed Nov 26 02:35:51 UTC 2025","Update entity","Users","",""
"","11","Get user me","LMS","Wed Nov 26 02:35:49 UTC 2025","passed","Wed Nov 26 02:35:49 UTC 2025","Get entity","Users","",""
"","16","Update exercise","LMS","Wed Nov 26 02:35:43 UTC 2025","passed","Wed Nov 26 02:35:43 UTC 2025","Update entity","Exercises","",""
"","14","Create file with empty filename","LMS","Wed Nov 26 02:35:47 UTC 2025","passed","Wed Nov 26 02:35:47 UTC 2025","Validate entity","Files","",""
"","16","Update user","LMS","Wed Nov 26 02:35:53 UTC 2025","passed","Wed Nov 26 02:35:53 UTC 2025","Update entity","Users","",""
"","281","Create user","LMS","Wed Nov 26 02:35:48 UTC 2025","passed","Wed Nov 26 02:35:48 UTC 2025","Create entity","Users","",""
"","14","Get exercises","LMS","Wed Nov 26 02:35:44 UTC 2025","passed","Wed Nov 26 02:35:44 UTC 2025","Get entities","Exercises","",""
"","282","Login with correct email and password","LMS","Wed Nov 26 02:35:38 UTC 2025","passed","Wed Nov 26 02:35:38 UTC 2025","Login","Authentication","",""
"","14","Update user","LMS","Wed Nov 26 02:35:53 UTC 2025","passed","Wed Nov 26 02:35:53 UTC 2025","Update entity","Users","",""
"","9","Create user with empty first name","LMS","Wed Nov 26 02:35:54 UTC 2025","passed","Wed Nov 26 02:35:54 UTC 2025","Validate entity","Users","",""
"","13","Get exercise","LMS","Wed Nov 26 02:35:42 UTC 2025","passed","Wed Nov 26 02:35:42 UTC 2025","Get entity","Exercises","",""
"","16","Delete exercise","LMS","Wed Nov 26 02:35:43 UTC 2025","passed","Wed Nov 26 02:35:43 UTC 2025","Delete entity","Exercises","",""
"","11","Get file with correct file id","LMS","Wed Nov 26 02:35:45 UTC 2025","passed","Wed Nov 26 02:35:45 UTC 2025","Get entity","Files","",""
"","17","Delete file","LMS","Wed Nov 26 02:35:46 UTC 2025","passed","Wed Nov 26 02:35:46 UTC 2025","Delete entity","Files","",""
"","19","Create file","LMS","Wed Nov 26 02:35:45 UTC 2025","passed","Wed Nov 26 02:35:45 UTC 2025","Create entity","Files","",""
"","21","Create file with empty directory","LMS","Wed Nov 26 02:35:47 UTC 2025","passed","Wed Nov 26 02:35:47 UTC 2025","Validate entity","Files","",""
"","282","Create user","LMS","Wed Nov 26 02:35:48 UTC 2025","passed","Wed Nov 26 02:35:49 UTC 2025","Create entity","Users","",""
"","21","Get user","LMS","Wed Nov 26 02:35:50 UTC 2025","passed","Wed Nov 26 02:35:50 UTC 2025","Get entity","Users","",""
"","13","Get file with incorrect file id","LMS","Wed Nov 26 02:35:48 UTC 2025","passed","Wed Nov 26 02:35:48 UTC 2025","Validate entity","Files","",""
"","283","Create user","LMS","Wed Nov 26 02:35:49 UTC 2025","passed","Wed Nov 26 02:35:49 UTC 2025","Create entity","Users","",""
"","8","Login with incorrect email","LMS","Wed Nov 26 02:35:38 UTC 2025","passed","Wed Nov 26 02:35:38 UTC 2025","Validate entity","Authentication","",""
"","18","Create exercise","LMS","Wed Nov 26 02:35:41 UTC 2025","passed","Wed Nov 26 02:35:41 UTC 2025","Create entity","Exercises","",""
"","18","Update user","LMS","Wed Nov 26 02:35:51 UTC 2025","passed","Wed Nov 26 02:35:51 UTC 2025","Update entity","Users","",""
"","28","Create course","LMS","Wed Nov 26 02:35:39 UTC 2025","passed","Wed Nov 26 02:35:39 UTC 2025","Create entity","Courses","",""
"","14","Update user","LMS","Wed Nov 26 02:35:52 UTC 2025","passed","Wed Nov 26 02:35:52 UTC 2025","Update entity","Users","",""
