"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Create user with incorrect email","LMS","Thu Nov 27 11:58:07 UTC 2025","passed","Thu Nov 27 11:58:07 UTC 2025","Validate entity","Users","",""
"","285","Create user","LMS","Thu Nov 27 11:58:00 UTC 2025","passed","Thu Nov 27 11:58:01 UTC 2025","Create entity","Users","",""
"","20","Create exercise","LMS","Thu Nov 27 11:57:54 UTC 2025","passed","Thu Nov 27 11:57:54 UTC 2025","Create entity","Exercises","",""
"","275","Login with incorrect password","LMS","Thu Nov 27 11:57:51 UTC 2025","passed","Thu Nov 27 11:57:51 UTC 2025","Validate entity","Authentication","",""
"","286","Create user","LMS","Thu Nov 27 11:58:01 UTC 2025","passed","Thu Nov 27 11:58:01 UTC 2025","Create entity","Users","",""
"","14","Get user me","LMS","Thu Nov 27 11:58:02 UTC 2025","passed","Thu Nov 27 11:58:02 UTC 2025","Get entity","Users","",""
"","22","Get courses","LMS","Thu Nov 27 11:57:52 UTC 2025","passed","Thu Nov 27 11:57:52 UTC 2025","Get entities","Courses","",""
"","17","Update user","LMS","Thu Nov 27 11:58:06 UTC 2025","passed","Thu Nov 27 11:58:06 UTC 2025","Update entity","Users","",""
"","9","Login with incorrect email","LMS","Thu Nov 27 11:57:51 UTC 2025","passed","Thu Nov 27 11:57:51 UTC 2025","Validate entity","Authentication","",""
"","11","Create user with empty first name","LMS","Thu Nov 27 11:58:07 UTC 2025","passed","Thu Nov 27 11:58:07 UTC 2025","Validate entity","Users","",""
"","28","Create file with empty directory","LMS","Thu Nov 27 11:58:00 UTC 2025","passed","Thu Nov 27 11:58:00 UTC 2025","Validate entity","Files","",""
"","21","Update user","LMS","Thu Nov 27 11:58:03 UTC 2025","passed","Thu Nov 27 11:58:03 UTC 2025","Update entity","Users","",""
"","12","Get file with correct file id","LMS","Thu Nov 27 11:57:58 UTC 2025","passed","Thu Nov 27 11:57:58 UTC 2025","Get entity","Files","",""
"","17","Delete exercise","LMS","Thu Nov 27 11:57:56 UTC 2025","passed","Thu Nov 27 11:57:56 UTC 2025","Delete entity","Exercises","",""
"","16","Create file with empty filename","LMS","Thu Nov 27 11:57:59 UTC 2025","passed","Thu Nov 27 11:57:59 UTC 2025","Validate entity","Files","",""
"","15","Get file with incorrect file id","LMS","Thu Nov 27 11:58:00 UTC 2025","passed","Thu Nov 27 11:58:00 UTC 2025","Validate entity","Files","",""
"","25","Get user","LMS","Thu Nov 27 11:58:03 UTC 2025","passed","Thu Nov 27 11:58:03 UTC 2025","Get entity","Users","",""
"","30","Update course","LMS","Thu Nov 27 11:57:53 UTC 2025","passed","Thu Nov 27 11:57:53 UTC 2025","Update entity","Courses","",""
"","21","Create file","LMS","Thu Nov 27 11:57:57 UTC 2025","passed","Thu Nov 27 11:57:57 UTC 2025","Create entity","Files","",""
"","285","Create user","LMS","Thu Nov 27 11:58:01 UTC 2025","passed","Thu Nov 27 11:58:01 UTC 2025","Create entity","Users","",""
"","16","Update user","LMS","Thu Nov 27 11:58:04 UTC 2025","passed","Thu Nov 27 11:58:04 UTC 2025","Update entity","Users","",""
"","15","Get exercises","LMS","Thu Nov 27 11:57:57 UTC 2025","passed","Thu Nov 27 11:57:57 UTC 2025","Get entities","Exercises","",""
"","16","Delete user","LMS","Thu Nov 27 11:58:07 UTC 2025","passed","Thu Nov 27 11:58:07 UTC 2025","Delete entity","Users","",""
"","17","Update user","LMS","Thu Nov 27 11:58:05 UTC 2025","passed","Thu Nov 27 11:58:05 UTC 2025","Update entity","Users","",""
"","15","Get exercise","LMS","Thu Nov 27 11:57:55 UTC 2025","passed","Thu Nov 27 11:57:55 UTC 2025","Get entity","Exercises","",""
"","283","Login with correct email and password","LMS","Thu Nov 27 11:57:50 UTC 2025","passed","Thu Nov 27 11:57:50 UTC 2025","Login","Authentication","",""
"","17","Delete file","LMS","Thu Nov 27 11:57:58 UTC 2025","passed","Thu Nov 27 11:57:59 UTC 2025","Delete entity","Files","",""
"","30","Create course","LMS","Thu Nov 27 11:57:52 UTC 2025","passed","Thu Nov 27 11:57:52 UTC 2025","Create entity","Courses","",""
"","19","Update exercise","LMS","Thu Nov 27 11:57:55 UTC 2025","passed","Thu Nov 27 11:57:55 UTC 2025","Update entity","Exercises","",""
"","29","Update user","LMS","Thu Nov 27 11:58:05 UTC 2025","passed","Thu Nov 27 11:58:05 UTC 2025","Update entity","Users","",""
