"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get file with incorrect file id","LMS","Thu Nov 27 10:57:29 UTC 2025","passed","Thu Nov 27 10:57:29 UTC 2025","Validate entity","Files","",""
"","15","Update user","LMS","Thu Nov 27 10:57:34 UTC 2025","passed","Thu Nov 27 10:57:34 UTC 2025","Update entity","Users","",""
"","13","Get exercise","LMS","Thu Nov 27 10:57:24 UTC 2025","passed","Thu Nov 27 10:57:24 UTC 2025","Get entity","Exercises","",""
"","274","Login with incorrect password","LMS","Thu Nov 27 10:57:20 UTC 2025","passed","Thu Nov 27 10:57:20 UTC 2025","Validate entity","Authentication","",""
"","9","Create user with incorrect email","LMS","Thu Nov 27 10:57:36 UTC 2025","passed","Thu Nov 27 10:57:36 UTC 2025","Validate entity","Users","",""
"","283","Create user","LMS","Thu Nov 27 10:57:30 UTC 2025","passed","Thu Nov 27 10:57:30 UTC 2025","Create entity","Users","",""
"","17","Delete file","LMS","Thu Nov 27 10:57:28 UTC 2025","passed","Thu Nov 27 10:57:28 UTC 2025","Delete entity","Files","",""
"","14","Create file with empty filename","LMS","Thu Nov 27 10:57:28 UTC 2025","passed","Thu Nov 27 10:57:28 UTC 2025","Validate entity","Files","",""
"","19","Create file","LMS","Thu Nov 27 10:57:26 UTC 2025","passed","Thu Nov 27 10:57:26 UTC 2025","Create entity","Files","",""
"","281","Login with correct email and password","LMS","Thu Nov 27 10:57:19 UTC 2025","passed","Thu Nov 27 10:57:20 UTC 2025","Login","Authentication","",""
"","16","Delete exercise","LMS","Thu Nov 27 10:57:25 UTC 2025","passed","Thu Nov 27 10:57:25 UTC 2025","Delete entity","Exercises","",""
"","15","Update user","LMS","Thu Nov 27 10:57:35 UTC 2025","passed","Thu Nov 27 10:57:35 UTC 2025","Update entity","Users","",""
"","19","Update user","LMS","Thu Nov 27 10:57:32 UTC 2025","passed","Thu Nov 27 10:57:32 UTC 2025","Update entity","Users","",""
"","8","Login with incorrect email","LMS","Thu Nov 27 10:57:20 UTC 2025","passed","Thu Nov 27 10:57:20 UTC 2025","Validate entity","Authentication","",""
"","29","Update course","LMS","Thu Nov 27 10:57:22 UTC 2025","passed","Thu Nov 27 10:57:22 UTC 2025","Update entity","Courses","",""
"","29","Create course","LMS","Thu Nov 27 10:57:21 UTC 2025","passed","Thu Nov 27 10:57:21 UTC 2025","Create entity","Courses","",""
"","14","Get exercises","LMS","Thu Nov 27 10:57:26 UTC 2025","passed","Thu Nov 27 10:57:26 UTC 2025","Get entities","Exercises","",""
"","282","Create user","LMS","Thu Nov 27 10:57:30 UTC 2025","passed","Thu Nov 27 10:57:30 UTC 2025","Create entity","Users","",""
"","15","Update user","LMS","Thu Nov 27 10:57:34 UTC 2025","passed","Thu Nov 27 10:57:34 UTC 2025","Update entity","Users","",""
"","12","Get user me","LMS","Thu Nov 27 10:57:31 UTC 2025","passed","Thu Nov 27 10:57:31 UTC 2025","Get entity","Users","",""
"","9","Create user with empty first name","LMS","Thu Nov 27 10:57:36 UTC 2025","passed","Thu Nov 27 10:57:36 UTC 2025","Validate entity","Users","",""
"","17","Update exercise","LMS","Thu Nov 27 10:57:24 UTC 2025","passed","Thu Nov 27 10:57:24 UTC 2025","Update entity","Exercises","",""
"","23","Get courses","LMS","Thu Nov 27 10:57:22 UTC 2025","passed","Thu Nov 27 10:57:22 UTC 2025","Get entities","Courses","",""
"","282","Create user","LMS","Thu Nov 27 10:57:29 UTC 2025","passed","Thu Nov 27 10:57:30 UTC 2025","Create entity","Users","",""
"","21","Create file with empty directory","LMS","Thu Nov 27 10:57:29 UTC 2025","passed","Thu Nov 27 10:57:29 UTC 2025","Validate entity","Files","",""
"","19","Create exercise","LMS","Thu Nov 27 10:57:23 UTC 2025","passed","Thu Nov 27 10:57:23 UTC 2025","Create entity","Exercises","",""
"","15","Delete user","LMS","Thu Nov 27 10:57:35 UTC 2025","passed","Thu Nov 27 10:57:35 UTC 2025","Delete entity","Users","",""
"","16","Update user","LMS","Thu Nov 27 10:57:33 UTC 2025","passed","Thu Nov 27 10:57:33 UTC 2025","Update entity","Users","",""
"","22","Get user","LMS","Thu Nov 27 10:57:32 UTC 2025","passed","Thu Nov 27 10:57:32 UTC 2025","Get entity","Users","",""
"","11","Get file with correct file id","LMS","Thu Nov 27 10:57:27 UTC 2025","passed","Thu Nov 27 10:57:27 UTC 2025","Get entity","Files","",""
