"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS","Wed Nov 26 01:32:18 UTC 2025","passed","Wed Nov 26 01:32:18 UTC 2025","Get entity","Users","",""
"","29","Create course","LMS","Wed Nov 26 01:32:07 UTC 2025","passed","Wed Nov 26 01:32:07 UTC 2025","Create entity","Courses","",""
"","15","Create file with empty filename","LMS","Wed Nov 26 01:32:15 UTC 2025","passed","Wed Nov 26 01:32:15 UTC 2025","Validate entity","Files","",""
"","283","Login with correct email and password","LMS","Wed Nov 26 01:32:06 UTC 2025","passed","Wed Nov 26 01:32:06 UTC 2025","Login","Authentication","",""
"","17","Delete file","LMS","Wed Nov 26 01:32:14 UTC 2025","passed","Wed Nov 26 01:32:14 UTC 2025","Delete entity","Files","",""
"","24","Create file with empty directory","LMS","Wed Nov 26 01:32:15 UTC 2025","passed","Wed Nov 26 01:32:15 UTC 2025","Validate entity","Files","",""
"","275","Login with incorrect password","LMS","Wed Nov 26 01:32:07 UTC 2025","passed","Wed Nov 26 01:32:07 UTC 2025","Validate entity","Authentication","",""
"","16","Delete user","LMS","Wed Nov 26 01:32:22 UTC 2025","passed","Wed Nov 26 01:32:22 UTC 2025","Delete entity","Users","",""
"","15","Get exercises","LMS","Wed Nov 26 01:32:12 UTC 2025","passed","Wed Nov 26 01:32:12 UTC 2025","Get entities","Exercises","",""
"","25","Get user","LMS","Wed Nov 26 01:32:18 UTC 2025","passed","Wed Nov 26 01:32:18 UTC 2025","Get entity","Users","",""
"","17","Update exercise","LMS","Wed Nov 26 01:32:11 UTC 2025","passed","Wed Nov 26 01:32:11 UTC 2025","Update entity","Exercises","",""
"","284","Create user","LMS","Wed Nov 26 01:32:16 UTC 2025","passed","Wed Nov 26 01:32:17 UTC 2025","Create entity","Users","",""
"","283","Create user","LMS","Wed Nov 26 01:32:16 UTC 2025","passed","Wed Nov 26 01:32:16 UTC 2025","Create entity","Users","",""
"","18","Create exercise","LMS","Wed Nov 26 01:32:09 UTC 2025","passed","Wed Nov 26 01:32:09 UTC 2025","Create entity","Exercises","",""
"","287","Create user","LMS","Wed Nov 26 01:32:17 UTC 2025","passed","Wed Nov 26 01:32:17 UTC 2025","Create entity","Users","",""
"","16","Update user","LMS","Wed Nov 26 01:32:20 UTC 2025","passed","Wed Nov 26 01:32:20 UTC 2025","Update entity","Users","",""
"","15","Update user","LMS","Wed Nov 26 01:32:21 UTC 2025","passed","Wed Nov 26 01:32:21 UTC 2025","Update entity","Users","",""
"","17","Update user","LMS","Wed Nov 26 01:32:20 UTC 2025","passed","Wed Nov 26 01:32:20 UTC 2025","Update entity","Users","",""
"","23","Get courses","LMS","Wed Nov 26 01:32:08 UTC 2025","passed","Wed Nov 26 01:32:08 UTC 2025","Get entities","Courses","",""
"","35","Update course","LMS","Wed Nov 26 01:32:09 UTC 2025","passed","Wed Nov 26 01:32:09 UTC 2025","Update entity","Courses","",""
"","12","Get file with correct file id","LMS","Wed Nov 26 01:32:13 UTC 2025","passed","Wed Nov 26 01:32:13 UTC 2025","Get entity","Files","",""
"","19","Update user","LMS","Wed Nov 26 01:32:19 UTC 2025","passed","Wed Nov 26 01:32:19 UTC 2025","Update entity","Users","",""
"","23","Create file","LMS","Wed Nov 26 01:32:13 UTC 2025","passed","Wed Nov 26 01:32:13 UTC 2025","Create entity","Files","",""
"","15","Update user","LMS","Wed Nov 26 01:32:21 UTC 2025","passed","Wed Nov 26 01:32:21 UTC 2025","Update entity","Users","",""
"","10","Create user with incorrect email","LMS","Wed Nov 26 01:32:22 UTC 2025","passed","Wed Nov 26 01:32:22 UTC 2025","Validate entity","Users","",""
"","9","Login with incorrect email","LMS","Wed Nov 26 01:32:06 UTC 2025","passed","Wed Nov 26 01:32:06 UTC 2025","Validate entity","Authentication","",""
"","13","Get exercise","LMS","Wed Nov 26 01:32:10 UTC 2025","passed","Wed Nov 26 01:32:10 UTC 2025","Get entity","Exercises","",""
"","10","Create user with empty first name","LMS","Wed Nov 26 01:32:22 UTC 2025","passed","Wed Nov 26 01:32:22 UTC 2025","Validate entity","Users","",""
"","14","Get file with incorrect file id","LMS","Wed Nov 26 01:32:16 UTC 2025","passed","Wed Nov 26 01:32:16 UTC 2025","Validate entity","Files","",""
"","17","Delete exercise","LMS","Wed Nov 26 01:32:11 UTC 2025","passed","Wed Nov 26 01:32:12 UTC 2025","Delete entity","Exercises","",""
