"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Get user","LMS","Thu Nov 27 13:10:25 UTC 2025","passed","Thu Nov 27 13:10:25 UTC 2025","Get entity","Users","",""
"","16","Update user","LMS","Thu Nov 27 13:10:28 UTC 2025","passed","Thu Nov 27 13:10:28 UTC 2025","Update entity","Users","",""
"","14","Create file with empty filename","LMS","Thu Nov 27 13:10:22 UTC 2025","passed","Thu Nov 27 13:10:22 UTC 2025","Validate entity","Files","",""
"","23","Get courses","LMS","Thu Nov 27 13:10:15 UTC 2025","passed","Thu Nov 27 13:10:15 UTC 2025","Get entities","Courses","",""
"","30","Update course","LMS","Thu Nov 27 13:10:16 UTC 2025","passed","Thu Nov 27 13:10:16 UTC 2025","Update entity","Courses","",""
"","10","Login with incorrect email","LMS","Thu Nov 27 13:10:13 UTC 2025","passed","Thu Nov 27 13:10:13 UTC 2025","Validate entity","Authentication","",""
"","13","Get file with correct file id","LMS","Thu Nov 27 13:10:20 UTC 2025","passed","Thu Nov 27 13:10:20 UTC 2025","Get entity","Files","",""
"","13","Get user me","LMS","Thu Nov 27 13:10:25 UTC 2025","passed","Thu Nov 27 13:10:25 UTC 2025","Get entity","Users","",""
"","18","Delete file","LMS","Thu Nov 27 13:10:21 UTC 2025","passed","Thu Nov 27 13:10:21 UTC 2025","Delete entity","Files","",""
"","16","Update user","LMS","Thu Nov 27 13:10:27 UTC 2025","passed","Thu Nov 27 13:10:27 UTC 2025","Update entity","Users","",""
"","15","Get exercises","LMS","Thu Nov 27 13:10:19 UTC 2025","passed","Thu Nov 27 13:10:19 UTC 2025","Get entities","Exercises","",""
"","25","Update user","LMS","Thu Nov 27 13:10:28 UTC 2025","passed","Thu Nov 27 13:10:28 UTC 2025","Update entity","Users","",""
"","18","Update exercise","LMS","Thu Nov 27 13:10:18 UTC 2025","passed","Thu Nov 27 13:10:18 UTC 2025","Update entity","Exercises","",""
"","284","Create user","LMS","Thu Nov 27 13:10:23 UTC 2025","passed","Thu Nov 27 13:10:23 UTC 2025","Create entity","Users","",""
"","11","Create user with empty first name","LMS","Thu Nov 27 13:10:29 UTC 2025","passed","Thu Nov 27 13:10:29 UTC 2025","Validate entity","Users","",""
"","20","Update user","LMS","Thu Nov 27 13:10:26 UTC 2025","passed","Thu Nov 27 13:10:26 UTC 2025","Update entity","Users","",""
"","15","Get file with incorrect file id","LMS","Thu Nov 27 13:10:23 UTC 2025","passed","Thu Nov 27 13:10:23 UTC 2025","Validate entity","Files","",""
"","276","Login with incorrect password","LMS","Thu Nov 27 13:10:13 UTC 2025","passed","Thu Nov 27 13:10:14 UTC 2025","Validate entity","Authentication","",""
"","11","Create user with incorrect email","LMS","Thu Nov 27 13:10:29 UTC 2025","passed","Thu Nov 27 13:10:29 UTC 2025","Validate entity","Users","",""
"","16","Delete exercise","LMS","Thu Nov 27 13:10:18 UTC 2025","passed","Thu Nov 27 13:10:18 UTC 2025","Delete entity","Exercises","",""
"","16","Delete user","LMS","Thu Nov 27 13:10:29 UTC 2025","passed","Thu Nov 27 13:10:29 UTC 2025","Delete entity","Users","",""
"","31","Create course","LMS","Thu Nov 27 13:10:14 UTC 2025","passed","Thu Nov 27 13:10:14 UTC 2025","Create entity","Courses","",""
"","285","Create user","LMS","Thu Nov 27 13:10:23 UTC 2025","passed","Thu Nov 27 13:10:24 UTC 2025","Create entity","Users","",""
"","17","Update user","LMS","Thu Nov 27 13:10:26 UTC 2025","passed","Thu Nov 27 13:10:26 UTC 2025","Update entity","Users","",""
"","283","Login with correct email and password","LMS","Thu Nov 27 13:10:13 UTC 2025","passed","Thu Nov 27 13:10:13 UTC 2025","Login","Authentication","",""
"","286","Create user","LMS","Thu Nov 27 13:10:24 UTC 2025","passed","Thu Nov 27 13:10:24 UTC 2025","Create entity","Users","",""
"","21","Create file","LMS","Thu Nov 27 13:10:20 UTC 2025","passed","Thu Nov 27 13:10:20 UTC 2025","Create entity","Files","",""
"","14","Get exercise","LMS","Thu Nov 27 13:10:17 UTC 2025","passed","Thu Nov 27 13:10:17 UTC 2025","Get entity","Exercises","",""
"","23","Create file with empty directory","LMS","Thu Nov 27 13:10:22 UTC 2025","passed","Thu Nov 27 13:10:22 UTC 2025","Validate entity","Files","",""
"","20","Create exercise","LMS","Thu Nov 27 13:10:16 UTC 2025","passed","Thu Nov 27 13:10:16 UTC 2025","Create entity","Exercises","",""
