"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Get user","LMS","Thu Nov 20 00:02:58 UTC 2025","passed","Thu Nov 20 00:02:58 UTC 2025","Get entity","Users","",""
"","12","Get file with correct file id","LMS","Thu Nov 20 00:02:53 UTC 2025","passed","Thu Nov 20 00:02:53 UTC 2025","Get entity","Files","",""
"","26","Get courses","LMS","Thu Nov 20 00:02:48 UTC 2025","passed","Thu Nov 20 00:02:48 UTC 2025","Get entities","Courses","",""
"","16","Create file with empty filename","LMS","Thu Nov 20 00:02:55 UTC 2025","passed","Thu Nov 20 00:02:55 UTC 2025","Validate entity","Files","",""
"","20","Create file","LMS","Thu Nov 20 00:02:53 UTC 2025","passed","Thu Nov 20 00:02:53 UTC 2025","Create entity","Files","",""
"","17","Delete user","LMS","Thu Nov 20 00:03:02 UTC 2025","passed","Thu Nov 20 00:03:02 UTC 2025","Delete entity","Users","",""
"","12","Get user me","LMS","Thu Nov 20 00:02:58 UTC 2025","passed","Thu Nov 20 00:02:58 UTC 2025","Get entity","Users","",""
"","10","Create user with empty first name","LMS","Thu Nov 20 00:03:02 UTC 2025","passed","Thu Nov 20 00:03:02 UTC 2025","Validate entity","Users","",""
"","18","Delete exercise","LMS","Thu Nov 20 00:02:51 UTC 2025","passed","Thu Nov 20 00:02:51 UTC 2025","Delete entity","Exercises","",""
"","17","Update exercise","LMS","Thu Nov 20 00:02:51 UTC 2025","passed","Thu Nov 20 00:02:51 UTC 2025","Update entity","Exercises","",""
"","19","Update user","LMS","Thu Nov 20 00:02:59 UTC 2025","passed","Thu Nov 20 00:02:59 UTC 2025","Update entity","Users","",""
"","18","Delete file","LMS","Thu Nov 20 00:02:54 UTC 2025","passed","Thu Nov 20 00:02:54 UTC 2025","Delete entity","Files","",""
"","24","Create file with empty directory","LMS","Thu Nov 20 00:02:55 UTC 2025","passed","Thu Nov 20 00:02:55 UTC 2025","Validate entity","Files","",""
"","14","Get exercises","LMS","Thu Nov 20 00:02:52 UTC 2025","passed","Thu Nov 20 00:02:52 UTC 2025","Get entities","Exercises","",""
"","17","Update user","LMS","Thu Nov 20 00:03:00 UTC 2025","passed","Thu Nov 20 00:03:00 UTC 2025","Update entity","Users","",""
"","10","Create user with incorrect email","LMS","Thu Nov 20 00:03:02 UTC 2025","passed","Thu Nov 20 00:03:02 UTC 2025","Validate entity","Users","",""
"","285","Create user","LMS","Thu Nov 20 00:02:57 UTC 2025","passed","Thu Nov 20 00:02:57 UTC 2025","Create entity","Users","",""
"","16","Update user","LMS","Thu Nov 20 00:02:59 UTC 2025","passed","Thu Nov 20 00:02:59 UTC 2025","Update entity","Users","",""
"","16","Update user","LMS","Thu Nov 20 00:03:01 UTC 2025","passed","Thu Nov 20 00:03:01 UTC 2025","Update entity","Users","",""
"","275","Login with incorrect password","LMS","Thu Nov 20 00:02:46 UTC 2025","passed","Thu Nov 20 00:02:47 UTC 2025","Validate entity","Authentication","",""
"","14","Get file with incorrect file id","LMS","Thu Nov 20 00:02:56 UTC 2025","passed","Thu Nov 20 00:02:56 UTC 2025","Validate entity","Files","",""
"","282","Login with correct email and password","LMS","Thu Nov 20 00:02:46 UTC 2025","passed","Thu Nov 20 00:02:46 UTC 2025","Login","Authentication","",""
"","20","Create exercise","LMS","Thu Nov 20 00:02:49 UTC 2025","passed","Thu Nov 20 00:02:49 UTC 2025","Create entity","Exercises","",""
"","36","Update course","LMS","Thu Nov 20 00:02:49 UTC 2025","passed","Thu Nov 20 00:02:49 UTC 2025","Update entity","Courses","",""
"","29","Create course","LMS","Thu Nov 20 00:02:47 UTC 2025","passed","Thu Nov 20 00:02:47 UTC 2025","Create entity","Courses","",""
"","15","Get exercise","LMS","Thu Nov 20 00:02:50 UTC 2025","passed","Thu Nov 20 00:02:50 UTC 2025","Get entity","Exercises","",""
"","283","Create user","LMS","Thu Nov 20 00:02:56 UTC 2025","passed","Thu Nov 20 00:02:56 UTC 2025","Create entity","Users","",""
"","9","Login with incorrect email","LMS","Thu Nov 20 00:02:46 UTC 2025","passed","Thu Nov 20 00:02:46 UTC 2025","Validate entity","Authentication","",""
"","283","Create user","LMS","Thu Nov 20 00:02:56 UTC 2025","passed","Thu Nov 20 00:02:57 UTC 2025","Create entity","Users","",""
"","16","Update user","LMS","Thu Nov 20 00:03:01 UTC 2025","passed","Thu Nov 20 00:03:01 UTC 2025","Update entity","Users","",""
