"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","Login with incorrect email","LMS","Wed Nov 26 01:39:23 UTC 2025","passed","Wed Nov 26 01:39:23 UTC 2025","Validate entity","Authentication","",""
"","23","Get user","LMS","Wed Nov 26 01:39:35 UTC 2025","passed","Wed Nov 26 01:39:35 UTC 2025","Get entity","Users","",""
"","21","Create file with empty directory","LMS","Wed Nov 26 01:39:33 UTC 2025","passed","Wed Nov 26 01:39:33 UTC 2025","Validate entity","Files","",""
"","18","Create exercise","LMS","Wed Nov 26 01:39:27 UTC 2025","passed","Wed Nov 26 01:39:27 UTC 2025","Create entity","Exercises","",""
"","16","Update user","LMS","Wed Nov 26 01:39:38 UTC 2025","passed","Wed Nov 26 01:39:38 UTC 2025","Update entity","Users","",""
"","23","Get courses","LMS","Wed Nov 26 01:39:25 UTC 2025","passed","Wed Nov 26 01:39:25 UTC 2025","Get entities","Courses","",""
"","13","Create file with empty filename","LMS","Wed Nov 26 01:39:32 UTC 2025","passed","Wed Nov 26 01:39:32 UTC 2025","Validate entity","Files","",""
"","14","Get exercise","LMS","Wed Nov 26 01:39:27 UTC 2025","passed","Wed Nov 26 01:39:27 UTC 2025","Get entity","Exercises","",""
"","12","Get user me","LMS","Wed Nov 26 01:39:35 UTC 2025","passed","Wed Nov 26 01:39:35 UTC 2025","Get entity","Users","",""
"","281","Login with correct email and password","LMS","Wed Nov 26 01:39:23 UTC 2025","passed","Wed Nov 26 01:39:23 UTC 2025","Login","Authentication","",""
"","283","Create user","LMS","Wed Nov 26 01:39:33 UTC 2025","passed","Wed Nov 26 01:39:33 UTC 2025","Create entity","Users","",""
"","34","Update course","LMS","Wed Nov 26 01:39:26 UTC 2025","passed","Wed Nov 26 01:39:26 UTC 2025","Update entity","Courses","",""
"","10","Create user with incorrect email","LMS","Wed Nov 26 01:39:39 UTC 2025","passed","Wed Nov 26 01:39:39 UTC 2025","Validate entity","Users","",""
"","15","Delete user","LMS","Wed Nov 26 01:39:39 UTC 2025","passed","Wed Nov 26 01:39:39 UTC 2025","Delete entity","Users","",""
"","284","Create user","LMS","Wed Nov 26 01:39:34 UTC 2025","passed","Wed Nov 26 01:39:34 UTC 2025","Create entity","Users","",""
"","16","Update user","LMS","Wed Nov 26 01:39:37 UTC 2025","passed","Wed Nov 26 01:39:37 UTC 2025","Update entity","Users","",""
"","18","Update exercise","LMS","Wed Nov 26 01:39:28 UTC 2025","passed","Wed Nov 26 01:39:28 UTC 2025","Update entity","Exercises","",""
"","21","Create file","LMS","Wed Nov 26 01:39:30 UTC 2025","passed","Wed Nov 26 01:39:30 UTC 2025","Create entity","Files","",""
"","14","Get file with incorrect file id","LMS","Wed Nov 26 01:39:33 UTC 2025","passed","Wed Nov 26 01:39:33 UTC 2025","Validate entity","Files","",""
"","284","Create user","LMS","Wed Nov 26 01:39:34 UTC 2025","passed","Wed Nov 26 01:39:34 UTC 2025","Create entity","Users","",""
"","12","Get file with correct file id","LMS","Wed Nov 26 01:39:31 UTC 2025","passed","Wed Nov 26 01:39:31 UTC 2025","Get entity","Files","",""
"","15","Update user","LMS","Wed Nov 26 01:39:37 UTC 2025","passed","Wed Nov 26 01:39:37 UTC 2025","Update entity","Users","",""
"","18","Update user","LMS","Wed Nov 26 01:39:36 UTC 2025","passed","Wed Nov 26 01:39:36 UTC 2025","Update entity","Users","",""
"","10","Create user with empty first name","LMS","Wed Nov 26 01:39:39 UTC 2025","passed","Wed Nov 26 01:39:39 UTC 2025","Validate entity","Users","",""
"","29","Create course","LMS","Wed Nov 26 01:39:25 UTC 2025","passed","Wed Nov 26 01:39:25 UTC 2025","Create entity","Courses","",""
"","15","Update user","LMS","Wed Nov 26 01:39:39 UTC 2025","passed","Wed Nov 26 01:39:39 UTC 2025","Update entity","Users","",""
"","17","Delete file","LMS","Wed Nov 26 01:39:31 UTC 2025","passed","Wed Nov 26 01:39:31 UTC 2025","Delete entity","Files","",""
"","15","Get exercises","LMS","Wed Nov 26 01:39:29 UTC 2025","passed","Wed Nov 26 01:39:29 UTC 2025","Get entities","Exercises","",""
"","18","Delete exercise","LMS","Wed Nov 26 01:39:29 UTC 2025","passed","Wed Nov 26 01:39:29 UTC 2025","Delete entity","Exercises","",""
"","275","Login with incorrect password","LMS","Wed Nov 26 01:39:24 UTC 2025","passed","Wed Nov 26 01:39:24 UTC 2025","Validate entity","Authentication","",""
