"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Create course","LMS","Fri Nov 07 17:13:56 UTC 2025","passed","Fri Nov 07 17:13:57 UTC 2025","Create entity","Courses","",""
"","516","Create user","LMS","Fri Nov 07 17:14:03 UTC 2025","passed","Fri Nov 07 17:14:04 UTC 2025","Create entity","Users","",""
"","33","Get courses","LMS","Fri Nov 07 17:13:55 UTC 2025","passed","Fri Nov 07 17:13:55 UTC 2025","Get entities","Courses","",""
"","14","Get file with correct file id","LMS","Fri Nov 07 17:14:01 UTC 2025","passed","Fri Nov 07 17:14:01 UTC 2025","Get entity","Files","",""
"","17","Get exercises","LMS","Fri Nov 07 17:14:00 UTC 2025","passed","Fri Nov 07 17:14:00 UTC 2025","Get entities","Exercises","",""
"","557","Create user","LMS","Fri Nov 07 17:14:04 UTC 2025","passed","Fri Nov 07 17:14:04 UTC 2025","Create entity","Users","",""
"","16","Create file with empty directory","LMS","Fri Nov 07 17:14:02 UTC 2025","passed","Fri Nov 07 17:14:02 UTC 2025","Validate entity","Files","",""
"","552","Login with correct email and password","LMS","Fri Nov 07 17:13:55 UTC 2025","passed","Fri Nov 07 17:13:55 UTC 2025","Login","Authentication","",""
"","21","Create exercise","LMS","Fri Nov 07 17:13:58 UTC 2025","passed","Fri Nov 07 17:13:58 UTC 2025","Create entity","Exercises","",""
"","272","Create file with empty filename","LMS","Fri Nov 07 17:14:02 UTC 2025","passed","Fri Nov 07 17:14:02 UTC 2025","Validate entity","Files","",""
"","544","Create user","LMS","Fri Nov 07 17:14:02 UTC 2025","passed","Fri Nov 07 17:14:03 UTC 2025","Create entity","Users","",""
"","19","Create file","LMS","Fri Nov 07 17:14:00 UTC 2025","passed","Fri Nov 07 17:14:00 UTC 2025","Create entity","Files","",""
"","19","Delete exercise","LMS","Fri Nov 07 17:13:59 UTC 2025","passed","Fri Nov 07 17:13:59 UTC 2025","Delete entity","Exercises","",""
"","19","Delete file","LMS","Fri Nov 07 17:14:01 UTC 2025","passed","Fri Nov 07 17:14:01 UTC 2025","Delete entity","Files","",""
"","267","Get file with incorrect file id","LMS","Fri Nov 07 17:14:03 UTC 2025","passed","Fri Nov 07 17:14:04 UTC 2025","Validate entity","Files","",""
"","36","Update course","LMS","Fri Nov 07 17:13:57 UTC 2025","passed","Fri Nov 07 17:13:57 UTC 2025","Update entity","Courses","",""
"","13","Get user me","LMS","Fri Nov 07 17:14:04 UTC 2025","passed","Fri Nov 07 17:14:04 UTC 2025","Get entity","Users","",""
"","24","Get exercise","LMS","Fri Nov 07 17:13:59 UTC 2025","passed","Fri Nov 07 17:13:59 UTC 2025","Get entity","Exercises","",""
"","29","Update exercise","LMS","Fri Nov 07 17:13:58 UTC 2025","passed","Fri Nov 07 17:13:58 UTC 2025","Update entity","Exercises","",""
