"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Create file with empty filename","LMS","Thu Nov 27 12:03:03 UTC 2025","passed","Thu Nov 27 12:03:03 UTC 2025","Validate entity","Files","",""
"","11","Get file with correct file id","LMS","Thu Nov 27 12:03:02 UTC 2025","passed","Thu Nov 27 12:03:02 UTC 2025","Get entity","Files","",""
"","19","Update user","LMS","Thu Nov 27 12:03:07 UTC 2025","passed","Thu Nov 27 12:03:07 UTC 2025","Update entity","Users","",""
"","28","Update course","LMS","Thu Nov 27 12:02:57 UTC 2025","passed","Thu Nov 27 12:02:57 UTC 2025","Update entity","Courses","",""
"","20","Create file","LMS","Thu Nov 27 12:03:01 UTC 2025","passed","Thu Nov 27 12:03:01 UTC 2025","Create entity","Files","",""
"","8","Login with incorrect email","LMS","Thu Nov 27 12:02:55 UTC 2025","passed","Thu Nov 27 12:02:55 UTC 2025","Validate entity","Authentication","",""
"","14","Get exercises","LMS","Thu Nov 27 12:03:01 UTC 2025","passed","Thu Nov 27 12:03:01 UTC 2025","Get entities","Exercises","",""
"","12","Get user me","LMS","Thu Nov 27 12:03:06 UTC 2025","passed","Thu Nov 27 12:03:06 UTC 2025","Get entity","Users","",""
"","13","Get exercise","LMS","Thu Nov 27 12:02:59 UTC 2025","passed","Thu Nov 27 12:02:59 UTC 2025","Get entity","Exercises","",""
"","9","Create user with empty first name","LMS","Thu Nov 27 12:03:11 UTC 2025","passed","Thu Nov 27 12:03:11 UTC 2025","Validate entity","Users","",""
"","22","Update user","LMS","Thu Nov 27 12:03:09 UTC 2025","passed","Thu Nov 27 12:03:09 UTC 2025","Update entity","Users","",""
"","284","Create user","LMS","Thu Nov 27 12:03:04 UTC 2025","passed","Thu Nov 27 12:03:05 UTC 2025","Create entity","Users","",""
"","16","Delete exercise","LMS","Thu Nov 27 12:03:00 UTC 2025","passed","Thu Nov 27 12:03:00 UTC 2025","Delete entity","Exercises","",""
"","17","Create exercise","LMS","Thu Nov 27 12:02:58 UTC 2025","passed","Thu Nov 27 12:02:58 UTC 2025","Create entity","Exercises","",""
"","275","Login with incorrect password","LMS","Thu Nov 27 12:02:55 UTC 2025","passed","Thu Nov 27 12:02:55 UTC 2025","Validate entity","Authentication","",""
"","284","Login with correct email and password","LMS","Thu Nov 27 12:02:54 UTC 2025","passed","Thu Nov 27 12:02:55 UTC 2025","Login","Authentication","",""
"","17","Delete file","LMS","Thu Nov 27 12:03:03 UTC 2025","passed","Thu Nov 27 12:03:03 UTC 2025","Delete entity","Files","",""
"","22","Get user","LMS","Thu Nov 27 12:03:07 UTC 2025","passed","Thu Nov 27 12:03:07 UTC 2025","Get entity","Users","",""
"","16","Update exercise","LMS","Thu Nov 27 12:02:59 UTC 2025","passed","Thu Nov 27 12:02:59 UTC 2025","Update entity","Exercises","",""
"","283","Create user","LMS","Thu Nov 27 12:03:05 UTC 2025","passed","Thu Nov 27 12:03:05 UTC 2025","Create entity","Users","",""
"","14","Update user","LMS","Thu Nov 27 12:03:10 UTC 2025","passed","Thu Nov 27 12:03:10 UTC 2025","Update entity","Users","",""
"","14","Get file with incorrect file id","LMS","Thu Nov 27 12:03:04 UTC 2025","passed","Thu Nov 27 12:03:04 UTC 2025","Validate entity","Files","",""
"","10","Create user with incorrect email","LMS","Thu Nov 27 12:03:11 UTC 2025","passed","Thu Nov 27 12:03:11 UTC 2025","Validate entity","Users","",""
"","15","Update user","LMS","Thu Nov 27 12:03:08 UTC 2025","passed","Thu Nov 27 12:03:08 UTC 2025","Update entity","Users","",""
"","23","Get courses","LMS","Thu Nov 27 12:02:57 UTC 2025","passed","Thu Nov 27 12:02:57 UTC 2025","Get entities","Courses","",""
"","21","Create file with empty directory","LMS","Thu Nov 27 12:03:04 UTC 2025","passed","Thu Nov 27 12:03:04 UTC 2025","Validate entity","Files","",""
"","27","Create course","LMS","Thu Nov 27 12:02:56 UTC 2025","passed","Thu Nov 27 12:02:56 UTC 2025","Create entity","Courses","",""
"","16","Update user","LMS","Thu Nov 27 12:03:09 UTC 2025","passed","Thu Nov 27 12:03:09 UTC 2025","Update entity","Users","",""
"","16","Delete user","LMS","Thu Nov 27 12:03:10 UTC 2025","passed","Thu Nov 27 12:03:10 UTC 2025","Delete entity","Users","",""
"","283","Create user","LMS","Thu Nov 27 12:03:05 UTC 2025","passed","Thu Nov 27 12:03:05 UTC 2025","Create entity","Users","",""
