"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Update exercise","LMS","Fri Nov 07 17:18:26 UTC 2025","passed","Fri Nov 07 17:18:26 UTC 2025","Update entity","Exercises","",""
"","12","Get file with correct file id","LMS","Fri Nov 07 17:18:29 UTC 2025","passed","Fri Nov 07 17:18:29 UTC 2025","Get entity","Files","",""
"","517","Create user","LMS","Fri Nov 07 17:18:31 UTC 2025","passed","Fri Nov 07 17:18:31 UTC 2025","Create entity","Users","",""
"","259","Get file with incorrect file id","LMS","Fri Nov 07 17:18:31 UTC 2025","passed","Fri Nov 07 17:18:31 UTC 2025","Validate entity","Files","",""
"","19","Get exercises","LMS","Fri Nov 07 17:18:28 UTC 2025","passed","Fri Nov 07 17:18:28 UTC 2025","Get entities","Exercises","",""
"","19","Delete file","LMS","Fri Nov 07 17:18:29 UTC 2025","passed","Fri Nov 07 17:18:29 UTC 2025","Delete entity","Files","",""
"","28","Update course","LMS","Fri Nov 07 17:18:24 UTC 2025","passed","Fri Nov 07 17:18:25 UTC 2025","Update entity","Courses","",""
"","20","Create exercise","LMS","Fri Nov 07 17:18:26 UTC 2025","passed","Fri Nov 07 17:18:26 UTC 2025","Create entity","Exercises","",""
"","26","Get courses","LMS","Fri Nov 07 17:18:23 UTC 2025","passed","Fri Nov 07 17:18:23 UTC 2025","Get entities","Courses","",""
"","29","Create course","LMS","Fri Nov 07 17:18:24 UTC 2025","passed","Fri Nov 07 17:18:24 UTC 2025","Create entity","Courses","",""
"","555","Create user","LMS","Fri Nov 07 17:18:31 UTC 2025","passed","Fri Nov 07 17:18:32 UTC 2025","Create entity","Users","",""
"","538","Create user","LMS","Fri Nov 07 17:18:30 UTC 2025","passed","Fri Nov 07 17:18:31 UTC 2025","Create entity","Users","",""
"","11","Get user me","LMS","Fri Nov 07 17:18:32 UTC 2025","passed","Fri Nov 07 17:18:32 UTC 2025","Get entity","Users","",""
"","14","Create file with empty directory","LMS","Fri Nov 07 17:18:30 UTC 2025","passed","Fri Nov 07 17:18:30 UTC 2025","Validate entity","Files","",""
"","550","Login with correct email and password","LMS","Fri Nov 07 17:18:23 UTC 2025","passed","Fri Nov 07 17:18:23 UTC 2025","Login","Authentication","",""
"","261","Create file with empty filename","LMS","Fri Nov 07 17:18:30 UTC 2025","passed","Fri Nov 07 17:18:30 UTC 2025","Validate entity","Files","",""
"","20","Create file","LMS","Fri Nov 07 17:18:28 UTC 2025","passed","Fri Nov 07 17:18:28 UTC 2025","Create entity","Files","",""
"","17","Delete exercise","LMS","Fri Nov 07 17:18:27 UTC 2025","passed","Fri Nov 07 17:18:27 UTC 2025","Delete entity","Exercises","",""
"","22","Get exercise","LMS","Fri Nov 07 17:18:27 UTC 2025","passed","Fri Nov 07 17:18:27 UTC 2025","Get entity","Exercises","",""
