"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Create file","LMS","Fri Nov 07 12:25:55 UTC 2025","passed","Fri Nov 07 12:25:55 UTC 2025","Create entity","Files","",""
"","291","Create exercise","LMS","Fri Nov 07 12:25:52 UTC 2025","passed","Fri Nov 07 12:25:52 UTC 2025","Create entity","Exercises","",""
"","552","Create user","LMS","Fri Nov 07 12:25:58 UTC 2025","passed","Fri Nov 07 12:25:59 UTC 2025","Create entity","Users","",""
"","26","Create course","LMS","Fri Nov 07 12:25:51 UTC 2025","passed","Fri Nov 07 12:25:51 UTC 2025","Create entity","Courses","",""
"","16","Get exercises","LMS","Fri Nov 07 12:25:55 UTC 2025","passed","Fri Nov 07 12:25:55 UTC 2025","Get entities","Exercises","",""
"","288","Update exercise","LMS","Fri Nov 07 12:25:53 UTC 2025","passed","Fri Nov 07 12:25:53 UTC 2025","Update entity","Exercises","",""
"","289","Delete exercise","LMS","Fri Nov 07 12:25:54 UTC 2025","passed","Fri Nov 07 12:25:54 UTC 2025","Delete entity","Exercises","",""
"","286","Create user","LMS","Fri Nov 07 12:25:58 UTC 2025","passed","Fri Nov 07 12:25:59 UTC 2025","Create entity","Users","",""
"","550","Create user","LMS","Fri Nov 07 12:25:58 UTC 2025","passed","Fri Nov 07 12:25:58 UTC 2025","Create entity","Users","",""
"","20","Get exercise","LMS","Fri Nov 07 12:25:54 UTC 2025","passed","Fri Nov 07 12:25:54 UTC 2025","Get entity","Exercises","",""
"","29","Get courses","LMS","Fri Nov 07 12:25:51 UTC 2025","passed","Fri Nov 07 12:25:51 UTC 2025","Get entities","Courses","",""
"","554","Login with correct email and password","LMS","Fri Nov 07 12:25:50 UTC 2025","passed","Fri Nov 07 12:25:50 UTC 2025","Login","Authentication","",""
"","19","Delete file","LMS","Fri Nov 07 12:25:57 UTC 2025","passed","Fri Nov 07 12:25:57 UTC 2025","Delete entity","Files","",""
"","268","Create file with empty directory","LMS","Fri Nov 07 12:25:57 UTC 2025","passed","Fri Nov 07 12:25:58 UTC 2025","Validate entity","Files","",""
"","303","Update course","LMS","Fri Nov 07 12:25:52 UTC 2025","passed","Fri Nov 07 12:25:52 UTC 2025","Update entity","Courses","",""
"","261","Create file with empty filename","LMS","Fri Nov 07 12:25:57 UTC 2025","passed","Fri Nov 07 12:25:57 UTC 2025","Validate entity","Files","",""
"","14","Get file with correct file id","LMS","Fri Nov 07 12:25:56 UTC 2025","passed","Fri Nov 07 12:25:56 UTC 2025","Get entity","Files","",""
"","258","Get file with incorrect file id","LMS","Fri Nov 07 12:25:58 UTC 2025","passed","Fri Nov 07 12:25:58 UTC 2025","Validate entity","Files","",""
"","11","Get user me","LMS","Fri Nov 07 12:25:59 UTC 2025","passed","Fri Nov 07 12:25:59 UTC 2025","Get entity","Users","",""
