"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Update exercise","LMS","Thu Nov 27 10:29:06 UTC 2025","passed","Thu Nov 27 10:29:06 UTC 2025","Update entity","Exercises","",""
"","276","Login with incorrect password","LMS","Thu Nov 27 10:29:02 UTC 2025","passed","Thu Nov 27 10:29:02 UTC 2025","Validate entity","Authentication","",""
"","14","Get file with incorrect file id","LMS","Thu Nov 27 10:29:11 UTC 2025","passed","Thu Nov 27 10:29:11 UTC 2025","Validate entity","Files","",""
"","15","Create file with empty filename","LMS","Thu Nov 27 10:29:10 UTC 2025","passed","Thu Nov 27 10:29:10 UTC 2025","Validate entity","Files","",""
"","23","Get user","LMS","Thu Nov 27 10:29:13 UTC 2025","passed","Thu Nov 27 10:29:14 UTC 2025","Get entity","Users","",""
"","14","Get exercise","LMS","Thu Nov 27 10:29:05 UTC 2025","passed","Thu Nov 27 10:29:05 UTC 2025","Get entity","Exercises","",""
"","11","Create user with empty first name","LMS","Thu Nov 27 10:29:17 UTC 2025","passed","Thu Nov 27 10:29:17 UTC 2025","Validate entity","Users","",""
"","36","Update course","LMS","Thu Nov 27 10:29:04 UTC 2025","passed","Thu Nov 27 10:29:04 UTC 2025","Update entity","Courses","",""
"","24","Get courses","LMS","Thu Nov 27 10:29:03 UTC 2025","passed","Thu Nov 27 10:29:03 UTC 2025","Get entities","Courses","",""
"","285","Create user","LMS","Thu Nov 27 10:29:12 UTC 2025","passed","Thu Nov 27 10:29:12 UTC 2025","Create entity","Users","",""
"","23","Create file","LMS","Thu Nov 27 10:29:08 UTC 2025","passed","Thu Nov 27 10:29:08 UTC 2025","Create entity","Files","",""
"","16","Delete user","LMS","Thu Nov 27 10:29:17 UTC 2025","passed","Thu Nov 27 10:29:17 UTC 2025","Delete entity","Users","",""
"","24","Create file with empty directory","LMS","Thu Nov 27 10:29:11 UTC 2025","passed","Thu Nov 27 10:29:11 UTC 2025","Validate entity","Files","",""
"","16","Update user","LMS","Thu Nov 27 10:29:16 UTC 2025","passed","Thu Nov 27 10:29:16 UTC 2025","Update entity","Users","",""
"","16","Update user","LMS","Thu Nov 27 10:29:17 UTC 2025","passed","Thu Nov 27 10:29:17 UTC 2025","Update entity","Users","",""
"","9","Login with incorrect email","LMS","Thu Nov 27 10:29:01 UTC 2025","passed","Thu Nov 27 10:29:01 UTC 2025","Validate entity","Authentication","",""
"","12","Create user with incorrect email","LMS","Thu Nov 27 10:29:17 UTC 2025","passed","Thu Nov 27 10:29:17 UTC 2025","Validate entity","Users","",""
"","285","Create user","LMS","Thu Nov 27 10:29:12 UTC 2025","passed","Thu Nov 27 10:29:12 UTC 2025","Create entity","Users","",""
"","18","Delete exercise","LMS","Thu Nov 27 10:29:07 UTC 2025","passed","Thu Nov 27 10:29:07 UTC 2025","Delete entity","Exercises","",""
"","20","Update user","LMS","Thu Nov 27 10:29:14 UTC 2025","passed","Thu Nov 27 10:29:14 UTC 2025","Update entity","Users","",""
"","30","Create course","LMS","Thu Nov 27 10:29:03 UTC 2025","passed","Thu Nov 27 10:29:03 UTC 2025","Create entity","Courses","",""
"","16","Update user","LMS","Thu Nov 27 10:29:15 UTC 2025","passed","Thu Nov 27 10:29:15 UTC 2025","Update entity","Users","",""
"","14","Get exercises","LMS","Thu Nov 27 10:29:07 UTC 2025","passed","Thu Nov 27 10:29:07 UTC 2025","Get entities","Exercises","",""
"","284","Create user","LMS","Thu Nov 27 10:29:11 UTC 2025","passed","Thu Nov 27 10:29:12 UTC 2025","Create entity","Users","",""
"","19","Delete file","LMS","Thu Nov 27 10:29:09 UTC 2025","passed","Thu Nov 27 10:29:09 UTC 2025","Delete entity","Files","",""
"","12","Get user me","LMS","Thu Nov 27 10:29:13 UTC 2025","passed","Thu Nov 27 10:29:13 UTC 2025","Get entity","Users","",""
"","19","Create exercise","LMS","Thu Nov 27 10:29:05 UTC 2025","passed","Thu Nov 27 10:29:05 UTC 2025","Create entity","Exercises","",""
"","13","Get file with correct file id","LMS","Thu Nov 27 10:29:09 UTC 2025","passed","Thu Nov 27 10:29:09 UTC 2025","Get entity","Files","",""
"","25","Update user","LMS","Thu Nov 27 10:29:15 UTC 2025","passed","Thu Nov 27 10:29:15 UTC 2025","Update entity","Users","",""
"","283","Login with correct email and password","LMS","Thu Nov 27 10:29:01 UTC 2025","passed","Thu Nov 27 10:29:01 UTC 2025","Login","Authentication","",""
