"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","Create user with empty first name","LMS","Wed Nov 26 03:23:59 UTC 2025","passed","Wed Nov 26 03:23:59 UTC 2025","Validate entity","Users","",""
"","15","Delete user","LMS","Wed Nov 26 03:23:59 UTC 2025","passed","Wed Nov 26 03:23:59 UTC 2025","Delete entity","Users","",""
"","33","Update course","LMS","Wed Nov 26 03:23:46 UTC 2025","passed","Wed Nov 26 03:23:46 UTC 2025","Update entity","Courses","",""
"","17","Update exercise","LMS","Wed Nov 26 03:23:48 UTC 2025","passed","Wed Nov 26 03:23:48 UTC 2025","Update entity","Exercises","",""
"","19","Update user","LMS","Wed Nov 26 03:23:56 UTC 2025","passed","Wed Nov 26 03:23:56 UTC 2025","Update entity","Users","",""
"","24","Get user","LMS","Wed Nov 26 03:23:55 UTC 2025","passed","Wed Nov 26 03:23:55 UTC 2025","Get entity","Users","",""
"","15","Update user","LMS","Wed Nov 26 03:23:58 UTC 2025","passed","Wed Nov 26 03:23:58 UTC 2025","Update entity","Users","",""
"","14","Update user","LMS","Wed Nov 26 03:23:58 UTC 2025","passed","Wed Nov 26 03:23:58 UTC 2025","Update entity","Users","",""
"","23","Get courses","LMS","Wed Nov 26 03:23:45 UTC 2025","passed","Wed Nov 26 03:23:45 UTC 2025","Get entities","Courses","",""
"","28","Create course","LMS","Wed Nov 26 03:23:44 UTC 2025","passed","Wed Nov 26 03:23:45 UTC 2025","Create entity","Courses","",""
"","13","Get file with incorrect file id","LMS","Wed Nov 26 03:23:53 UTC 2025","passed","Wed Nov 26 03:23:53 UTC 2025","Validate entity","Files","",""
"","14","Update user","LMS","Wed Nov 26 03:23:57 UTC 2025","passed","Wed Nov 26 03:23:57 UTC 2025","Update entity","Users","",""
"","283","Create user","LMS","Wed Nov 26 03:23:53 UTC 2025","passed","Wed Nov 26 03:23:53 UTC 2025","Create entity","Users","",""
"","21","Create file","LMS","Wed Nov 26 03:23:50 UTC 2025","passed","Wed Nov 26 03:23:50 UTC 2025","Create entity","Files","",""
"","7","Login with incorrect email","LMS","Wed Nov 26 03:23:43 UTC 2025","passed","Wed Nov 26 03:23:43 UTC 2025","Validate entity","Authentication","",""
"","283","Create user","LMS","Wed Nov 26 03:23:53 UTC 2025","passed","Wed Nov 26 03:23:54 UTC 2025","Create entity","Users","",""
"","12","Get file with correct file id","LMS","Wed Nov 26 03:23:50 UTC 2025","passed","Wed Nov 26 03:23:50 UTC 2025","Get entity","Files","",""
"","14","Create file with empty filename","LMS","Wed Nov 26 03:23:52 UTC 2025","passed","Wed Nov 26 03:23:52 UTC 2025","Validate entity","Files","",""
"","16","Delete exercise","LMS","Wed Nov 26 03:23:49 UTC 2025","passed","Wed Nov 26 03:23:49 UTC 2025","Delete entity","Exercises","",""
"","18","Create exercise","LMS","Wed Nov 26 03:23:47 UTC 2025","passed","Wed Nov 26 03:23:47 UTC 2025","Create entity","Exercises","",""
"","14","Get exercise","LMS","Wed Nov 26 03:23:47 UTC 2025","passed","Wed Nov 26 03:23:47 UTC 2025","Get entity","Exercises","",""
"","18","Delete file","LMS","Wed Nov 26 03:23:51 UTC 2025","passed","Wed Nov 26 03:23:51 UTC 2025","Delete entity","Files","",""
"","276","Login with incorrect password","LMS","Wed Nov 26 03:23:44 UTC 2025","passed","Wed Nov 26 03:23:44 UTC 2025","Validate entity","Authentication","",""
"","12","Get user me","LMS","Wed Nov 26 03:23:55 UTC 2025","passed","Wed Nov 26 03:23:55 UTC 2025","Get entity","Users","",""
"","13","Get exercises","LMS","Wed Nov 26 03:23:49 UTC 2025","passed","Wed Nov 26 03:23:49 UTC 2025","Get entities","Exercises","",""
"","14","Update user","LMS","Wed Nov 26 03:23:56 UTC 2025","passed","Wed Nov 26 03:23:57 UTC 2025","Update entity","Users","",""
"","283","Create user","LMS","Wed Nov 26 03:23:54 UTC 2025","passed","Wed Nov 26 03:23:54 UTC 2025","Create entity","Users","",""
"","281","Login with correct email and password","LMS","Wed Nov 26 03:23:43 UTC 2025","passed","Wed Nov 26 03:23:43 UTC 2025","Login","Authentication","",""
"","10","Create user with incorrect email","LMS","Wed Nov 26 03:23:59 UTC 2025","passed","Wed Nov 26 03:23:59 UTC 2025","Validate entity","Users","",""
"","24","Create file with empty directory","LMS","Wed Nov 26 03:23:52 UTC 2025","passed","Wed Nov 26 03:23:52 UTC 2025","Validate entity","Files","",""
